company_name,email,phone,trade,city,license_number,source,website,address,province,rating
# 1 Painting,,(604) 441-4010,Painting Contractors,New Westminster,,BBB_BC,,76 Sixth Ave E,BC,A+
'It's On' Electric Company Incorporated,,(604) 720-5803,Electrician,Surrey,,BBB_BC,,200- 2630 Croydon Drive,BC,A+
1 Day Refinishing,,(604) 337-1117,Floor Refinishing,Vancouver,,BBB_BC,,1188 Quebec Street,BC,A+
1 Fine Home Renovation,,(778) 840-4976,Home Renovation,Coquitlam,,BBB_BC,,1206 Foster Ave,BC,A+
1-800-HYDRO-PRO,,(604) 451-9274,Property Maintenance,Vancouver,,BBB_BC,,9173 Shaughnessy St,BC,A+
1-Call Bath & Tile Renovations,,(604) 351-3770,Bathroom Remodel,Port Coquitlam,,BBB_BC,,118 2623 Burleigh Ave,BC,A+
1-Call Cleaning Services Inc.,,(877) 256-7255,Janitor Service,Abbotsford,,BBB_BC,,PO Box 2237,BC,A+
1000 Squares Roofing Inc.,,(604) 757-9654,Roofing Contractors,White Rock,,BBB_BC,,15481 Victoria Ave,BC,A+
1001 Construction Services Canada,,(604) 715-2290,General Contractor,Coquitlam,,BBB_BC,,1001 Augustine Ave,BC,A+
1049662 B.C. Ltd.,,(604) 590-6868,General Contractor,Surrey,,BBB_BC,,"206 - 8120, 128 Street",BC,
1060708 B.C. Ltd.,,(778) 865-7172,Building Contractors,Surrey,,BBB_BC,,6222 126B Street,BC,A+
1087937 B.C. Ltd,,(778) 883-9927,General Contractor,Maple Ridge,,BBB_BC,,20772 River Road,BC,
111 Heating Services,,(604) 262-9909,Heating Contractors,Maple Ridge,,BBB_BC,,23102 123B Ave,BC,A+
123 Mechanical,,(778) 723-6324,Plumbing and Heating,Burnaby,,BBB_BC,,304 7434 Kingsway,BC,A+
1234 Construction Ltd.,,(778) 952-0400,Drywall Contractors,Surrey,,BBB_BC,,479 7184 120 St,BC,A+
1244211 BC Ltd.,,(604) 394-2016,General Contractor,Surrey,,BBB_BC,,,BC,
1364 Services Inc.,,(604) 690-1364,General Contractor,Langley,,BBB_BC,,,BC,A+
13SB Cleaning Services Delta/Surrey/Vancouver,,(604) 377-8714,Cleaning Services,Delta,,BBB_BC,,7659 115 St,BC,A-
180 Developments Ltd,,(604) 818-6292,Home Improvement,Vancouver,,BBB_BC,,374 2906 W Broadway,BC,A+
180 Kitchens Inc,,(604) 787-8285,Kitchen Cabinet Refacing,Surrey,,BBB_BC,,110 19162 22 Ave,BC,A+
18th Century Painting,,(778) 862-1815,Painting Contractors,Vancouver,,BBB_BC,,245 East 16th Ave,BC,A+
19K Design and Contracting Ltd.,,(778) 967-3122,Home Renovation,North Saanich,,BBB_BC,,,BC,A+
1st Aid Mechanical Ltd.,,(778) 898-0756,Commercial Air Conditioning Contractors,Surrey,,BBB_BC,,14582 33A Ave,BC,A+
1st Call Plumbing & Heating Limited,,(604) 868-7062,Plumber,Richmond,,BBB_BC,,6880 Miller Rd,BC,A+
1st Choice Carpet & Upholstery Cleaners,,(604) 526-3436,Carpet and Rug Cleaners,New Westminster,,BBB_BC,,619 1310 Cariboo St,BC,A+
1st Choice Windows & Doors,,(604) 779-5422,Windows,Coquitlam,,BBB_BC,,1946 Austin Ave,BC,A+
1st Pest Control,,(844) 737-8226,Pest Control Services,Delta,,BBB_BC,,4 7187 Honeyman St,BC,A+
1st Pick Heating & Air Conditioning,,(877) 727-5228,Heating and Air Conditioning,Surrey,,BBB_BC,,PO Box 35054 RPO Fleetwood,BC,A-
1st Place Contracting,,(604) 751-6276,General Contractor,Mission,,BBB_BC,,34618 Moffat Ave,BC,A+
1st Place Services,,(778) 707-7571,Furnace Repair,Vancouver,,BBB_BC,,1st Ave,BC,A+
2 Bros Construction Ltd,,(604) 614-0363,General Contractor,Abbotsford,,BBB_BC,,80 Townline Road,BC,
2 Brothers Plumbing & Heating Ltd,,(604) 536-3419,Plumber,Surrey,,BBB_BC,,105 19140 28 Ave,BC,A+
2 Honest Carpenter Ltd.,,(604) 803-0358,Home Improvement,Richmond,,BBB_BC,,3940 Blundell Rd,BC,A+
2 Honest Painter,,(604) 246-6378,Painting Contractors,Richmond,,BBB_BC,,,BC,A+
2 Old Guys Plumbing & Heating Ltd,,(604) 340-5238,Plumber,Burnaby,,BBB_BC,,7405 Lowland Dr,BC,A+
2 R Construction & Contractor Ltd.,,(604) 644-8899,Construction Services,Surrey,,BBB_BC,,5955 181 Street,BC,
2 Star Holding Inc,,(604) 825-4479,General Contractor,Abbotsford,,BBB_BC,,2358 Merlot Boulevard,BC,
2 of a Kind Renovations,,(778) 350-3312,General Contractor,Nanaimo,,BBB_BC,,,BC,
2000 Plus Insulation Ltd,,(604) 825-5054,Insulation Contractors,Vancouver,,BBB_BC,,6878 E Blvd,BC,A+
2010 Custom Homes Inc,,(604) 767-0209,Home Builders,Surrey,,BBB_BC,,12971 92A Avenue,BC,A+
21 CT Liberty Trades Ltd,,(604) 767-2181,Home Improvement,Vancouver,,BBB_BC,,Private Address,BC,A+
21 Degrees Mechanical Ltd.,,(250) 334-2100,Heating and Air Conditioning,Courtenay,,BBB_BC,,1868 Fern Rd,BC,F 
21st Century Roofers Ltd.,,(778) 298-5810,Roofing Contractors,Langley,,BBB_BC,,20094 Fernridge Cr,BC,A+
21st Century Ventures Inc.,,(604) 210-4220,General Contractor,Vancouver,,BBB_BC,,,BC,A+
22 Construction,,(604) 726-2122,Home Improvement,Surrey,,BBB_BC,,8767 168 St.,BC,A+
24 / 7 Plumbing & Heating Ltd.,,(604) 726-5224,Plumber,Surrey,,BBB_BC,,6192 167B,BC,A+
24 Construction Inc,,(778) 628-0209,General Contractor,Richmond,,BBB_BC,,7431 Belair Dr,BC,A+
24/6 Electric Ltd.,,(778) 319-2914,Electrician,Surrey,,BBB_BC,,,BC,A+
24/7 Twins Heating and Cooling,,(236) 514-4328,Heating and Air Conditioning,Richmond,,BBB_BC,,,BC,C-
250 Plumber,,(250) 758-6237,Plumber,Nanaimo,,BBB_BC,,11L Cliff St,BC,
2Hills Renovation Contractor,,(250) 830-0095,Home Renovation,Campbell River,,BBB_BC,,1423C 16th Ave,BC,A+
