name,num,prefix
DA &amp; AA HOLDINGS INC.,991627-0,AA
DA &amp; AA HOLDINGS INC.,103576-2,AA
EYESTEEL (AA) PRODUCTIONS INC.,770971-4,AA
Atelier AA R&eacute;sidentiel Inc.,1769108-4,AA
KID-AA HOLDINGS INC.,796423-4,AA
AA LOCATION D&#39;OUTILS LTEE,167839-6,AA
GST &amp; AA COMMUNICATION MEDIA INC.,399733-2,AA
AA. SH. P. HOLDINGS INC.,234999-0,AA
VISION CAPITAL PARTNERS AA LTD.,660619-9,AA
MONTEBELLO EGYPTIAN BLOODSTOCK INVESTMENTS AA INC.,305399-7,AA
AA RECRUTEMENT,1274650-6,AA
AA168 Ltd.,763786-1,AA
AA 1690 INC.,677364-8,AA
AA 3100 INC.,636386-5,AA
AA 3155 INC.,823605-4,AA
AA 555 INC.,872476-8,AA
AA83 CORP.,1483969-2,AA
AA ACQUISITION CORP.,443826-4,AA
AA ACQUISITION CORP.,443827-2,AA
AA JAHAN INC.,1019280-5,AA
AA WAX INC.,1021446-9,AA
AA NetConsult Inc.,1055386-7,AA
AA ELITE INC.,1075815-9,AA
Poseidon&amp;AA Incorporated,1085650-9,AA
AA DJS LTD.,1182184-9,AA
AA + contractors Inc.,1436961-1,AA
AA Aviation INC.,853936-7,AA
AA Commerce Inc.,876987-7,AA
AA CCC LTEE,022819-2,AA
AA impact Inc.,1223518-8,AA
AA EngTech Inc.,1234332-1,AA
AA DYNAMO CORP.,1258386-1,AA
AA ACQUISITION CORP.,668185-9,AA
AA Circuits INC.,724933-1,AA
AR&amp;AA CORPORATION,762857-9,AA
AA Shoes Inc.,767379-5,AA
AA Leathers Inc.,1555726-7,AA
AA Fabrics Inc.,1585918-2,AA
AA Detailers Inc.,1618240-2,AA
AA VENTURES INC.,1638221-5,AA
AA Cheema Inc.,1651581-9,AA
GabGor AA Inc.,635154-9,AA
AA06060219 Holdings Inc.,1431549-9,AA
AA1 GLOWING INC.,1587184-1,AA
IK3AA Inc.,933334-7,AA
Aluminum AA3104 Ltd.,1709920-7,AA
AA555 Canada inc.,1718188-4,AA
ANTIQUEAUCTIONS.CA (AA) INC.,380134-9,AA
AA SCIENTIFIC CONSULTANTS INC.,446448-6,AA
AA SILK CHANNEL LTD.,232830-5,AA
AA Maple Consulting Inc.,1026353-2,AA
AA+ Education Services Inc.,1062273-7,AA
AA IMPORTS &amp; WHOLESALES LTD.,1073995-2,AA
