name,num,prefix
CIBC BA Limited -,237756-0,BA
SA-BA CARPENTRY INC.,101360-2,BA
GESTIONS BA-TISSEUR INC.,235575-2,BA
BA&#39;S BOOK PRODUCTIONS INC.,1617900-2,BA
BA-BLS DESIGN INC.,206813-3,BA
LES INVESTISSEMENTS JA. LA. BA. INC.,127975-1,BA
ENTREPRISES SHALLAH RA/BA/LO INC.,252142-3,BA
BA TRANSPORTATION AND SOFTWARE CONSULTANTS INC.,296215-2,BA
LONG BA BA INC.,1116834-7,BA
KA.BA.BA EXPRESS LTD.,839681-7,BA
BA-BA-REEBA BEACH CLUB EATERY LTD.,284213-1,BA
BA 360&deg; INC.,859784-7,BA
AB&bull;BA Inc.,1270399-8,BA
BA Academy Inc.,1551473-8,BA
BA Advisor Inc.,662473-1,BA
BA PRODUCE INC.,973866-5,BA
BA Optimerce inc.,1022234-8,BA
BA-Prep Inc.,1045672-1,BA
BA mind Inc.,1106100-3,BA
BA Muskoka Ltd.,1113779-4,BA
PHOENIX BA Inc.,1148579-2,BA
Ba_O_baB,1256596-0,BA
BA Homes Inc.,1372357-7,BA
BA &amp; BI CORPORATION,1387027-8,BA
BA Games Corp.,1491835-5,BA
BA ConnectTech Ltd.,1530195-5,BA
BA Plumbing Inc.,1630668-3,BA
ba6ix inc.,1472046-6,BA
BA-MA 88 Inc.,966754-7,BA
Ba9maGenetics Inc.,1709766-2,BA
AL &amp; BA INTERNATIONAL INCORPORATED,620149-1,BA
BA Brothers Commodity Ltd.,1015974-3,BA
Ba-To Collections Inc.,1196145-4,BA
BA-RO FACTUM INC.,194926-8,BA
BA FASTTRACK CANADA INC.,438260-9,BA
BA CAO GAMES INC.,628845-6,BA
GUR &amp; BA INVESTMENT INC.,630406-1,BA
BA Whitmar Contracting Ltd.,694578-3,BA
The BA Coach Inc.,796685-7,BA
Toby Osborne BA Inc.,861572-1,BA
Delsis BA Consulting Inc.,914183-9,BA
"THE NEW BA, LTD.",936150-2,BA
BA WINDOW COVERINGS INC.,1046575-5,BA
BA - Tech consulting Inc.,1075371-8,BA
BA&#39;S International Enterprise Ltd.,1087344-6,BA
BA Fire Consulting Inc.,1284541-5,BA
BA Kalin Consulting Inc.,1301173-9,BA
BA Tree Consulting Inc.,1309866-4,BA
TAYEKEN BA SOLUTIONS INC.,1368464-4,BA
THE BA FOUNDATION CANADA,1383060-8,BA
BA FASTTRACK CANADA INC.,1443942-2,BA
BA -  Property Holdings Corp.,1508257-9,BA
Ba Fang Landscape Inc.,1537404-9,BA
BA Cleaning Solutions Inc.,1656258-2,BA
Al-ba Paper Canada Ltd.,1580508-2,BA
Ba and Fa Shop Ltd.,1380038-5,BA
BA&#39;AQEEL FINANCIAL CONSULTANTS LTD.,1393954-5,BA
BA-TOW ASSISTANCE MARINE INC.,1094844-6,BA
LES JEUX BA-ROI LTEE,152556-5,BA
TRIPLE M-BA LEASING INC.,212802-1,BA
CE-BA Entrepreneur G&eacute;n&eacute;ral Inc.,229012-0,BA
THE BA SOLUTION FINDERS INC.,685727-2,BA
SRG BA Consulting Services Inc.,760022-4,BA
BA GROUP OF COMPANIES INC.,949625-4,BA
Ebota Bana Ba Oc&eacute;an - EBBO,1121509-4,BA
Ba Wang Wuhan Restaurants Ltd.,1288773-8,BA
ba.be.O Creations Inc.,1498444-7,BA
BA SMILLIE POLYMER SERVICES LTD.,1583555-1,BA
B&amp;BA Construction and Renovations Inc.,665519-0,BA
Ba&#39;THARI Expressive Art Productions Inc.,657986-8,BA
COMMUNAUT&Eacute; DES BA SWAHILI AU CANADA,984466-0,BA
LES BATIMENTS BA TECH CO INC.,154182-0,BA
Ba Long Nguyen M.D. Inc.,706768-2,BA
VUE-BELLE PRODUCTIONS (ONTARIO-BA) INC.,978059-9,BA
BA TRU ALO KELIKO COMMUNITY DEVELOPMENT ASSOCIATION,1264764-8,BA
Business value-based BA&amp;PM Services Inc.,1441078-5,BA
JIU XUAN BA DE XIU ZHEN CHAN YUAN TEMPLE,937831-6,BA
BB G&acirc;teaux Inc.,1300747-2,BB
REWARD BB INC.,1347748-7,BB
TECHNOLOGIES BB4 INC.,371547-7,BB
BB STUNT SHOWS INC.,638448-0,BB
Montreal BB Residences Foundation,950846-5,BB
BB GR OPTICAL CANADA INC.,253910-1,BB
MONTEBELLO EGYPTIAN BLOODSTOCK INVESTMENTS BB INC.,305971-5,BB
BB Atlantic Corporation,1122614-2,BB
Sweet BB Incorporated,825482-6,BB
BB Immigration Inc.,829520-4,BB
BB-SKI INC.,291175-2,BB
SANT&Eacute; BB INC.,414614-0,BB
BB&amp;WGMS INC.,645714-2,BB
BB BOX INC.,672338-1,BB
bb Blanc inc.,696481-8,BB
BB Nation Inc.,710110-4,BB
BB-KARE Inc.,782345-2,BB
BB Foodeee Inc.,984554-2,BB
BB Inventions Inc.,1436462-7,BB
BB Host Corp.,1572238-1,BB
BB Franchising Inc.,1582174-6,BB
BB Beluga Inc.,1582710-8,BB
BB Franchise Ltd.,1680650-3,BB
BB TRADERS Inc.,1684482-1,BB
BB AgricPoint Holdings Corporation,695179-1,BB
BB ARCHITECTURAL HARDWARE INC.,950909-7,BB
JT &amp; BB AUTOMOBILE INC.,685964-0,BB
KURVES BB FRANCHISE INC.,825474-5,BB
BB Kidz Club Inc.,1196322-8,BB
GROUPE POLYCONSEIL BB INC.,278107-7,BB
BB COMBUSTION INTERNATIONAL LIMITED,664958-1,BB
YUNY_BB INTERNATIONAL INC.,687665-0,BB
BB Integrated Resources Corporation,699776-7,BB
BB STULS PRODUCTIONS INC.,784327-5,BB
BB&amp;G HEALTH CORP.,866830-2,BB
Media Ranch (BB) Inc.,920496-2,BB
BB-C Technologies Inc.,974068-6,BB
BB TRANS EXPRESS Ltd.,1151859-3,BB
BB Power Trading Inc.,1248270-3,BB
GESTION DAVID BB INC.,1283470-7,BB
BB Construction Equipment Ltd.,1338752-6,BB
BB Trade Canada Inc.,1354411-7,BB
HOLDCO OF BB INC.,1425460-1,BB
BB DHALIWAL RENOVATIONS INC.,1457034-1,BB
BB Traditional Foods Limited,1478750-1,BB
BB Custom Detailing Inc.,1527013-8,BB
BB Dhugga Transport Ltd.,1596669-8,BB
BB Foods Canada Inc.,1606928-2,BB
Immeubles BB Beaudoin inc.,1607217-8,BB
BB UNITED PAINTING INC.,1664498-8,BB
BB Belleza Boutique Inc.,1681457-3,BB
BB Life Skills Foundation,1763550-8,BB
BB FRESH PRODUCE INC.,1777350-1,BB
BB Biz Bridge Inc.,1779767-2,BB
3BB OWUSU COMPANY LTD.,1720067-6,BB
BRAR 5BB LOGISTICS INC.,1156576-1,BB
BB BROWN SALES CANADA LIMITED,413076-6,BB
BB &amp; MMS Holdings Company Inc.,706734-8,BB
BB Power Construction Mining INC.,727331-2,BB
BB&amp;Co Strategic Storytelling Inc.,733725-6,BB
Tamras jewels by bb inc.,1289696-6,BB
BB Canada Property Management Inc.,1339421-2,BB
BB GURNAAM FREIGHT SERVICES LTD.,1504300-0,BB
BB Global Trade Group Inc.,1769996-4,BB
BB Taxation &amp; 3A Professional Inc.,1391803-3,BB
BB Bundle inc. by Alexia &amp; Vanessa,1205970-3,BB
BB BROTHERS LANDSCAPING &amp; PROPERTY MAINTENANCE LONDON INC.,1654309-0,BB
INVESTISSEMENTS BC5 INC.,949694-7,BC
BC HUGHES ENTERTAINMENT INC.,847350-1,BC
SNC InPower BC Investments Inc.,940073-7,BC
SNC InPower BC Subco Inc.,940060-5,BC
TIGER TIGER PRODUCTIONS BC INC.,1148550-4,BC
OSTCAN BC,1089873-2,BC
Regenesis BC,1464040-3,BC
3BC INC.,798407-3,BC
9000 BC INC.,1164294-4,BC
ACCOUNTANTS-BC Ltd.,1186163-8,BC
ADELLA&#39;S BC INC.,1515753-6,BC
AIR BC LIMITED,384797-7,BC
BC Arboretum Inc.,1334365-1,BC
BC Commerce Inc.,1198200-1,BC
BC TRADING Inc.,1007246-0,BC
BC TELECOM INC.,179555-4,BC
BC INFOHEALTH LTD.,308329-2,BC
BrandAlliance (BC) Inc.,766130-4,BC
VISUAL BC INC.,774398-0,BC
BrandAlliance (BC) Inc.,793918-3,BC
BC Select Corporation,957552-9,BC
Original BC Ltd.,1044934-2,BC
BC London Inc.,1062152-8,BC
DELTA GALLEON BC,1063988-5,BC
Cyrus BC Inc.,1067502-4,BC
BC COSTUMES INC.,1069369-3,BC
BC INVESTISSEMENTS INC.,1111295-3,BC
ITech-BC Inc.,1233493-3,BC
"MBSG BC, Inc.",1238111-7,BC
BC Vertical Inc.,1284897-0,BC
GOODFOOD BC INC.,1298134-3,BC
mastodon BC inc.,1305185-4,BC
BC Disaster Relief,1317566-9,BC
BC DEV INC.,1317580-4,BC
POMERLEAU BC INC.,1355380-9,BC
BC QATS Inc.,1381946-9,BC
eRepair BC Ltd.,1409246-5,BC
BC Petroleum Corporation,1411886-3,BC
Independent BC Initiative,1502550-8,BC
Budha Dal BC,1506394-9,BC
BC FOODS CORPORATION,1547320-9,BC
HF&amp;BC Foundation,1565148-4,BC
Bc skateboard inc.,1602244-8,BC
PlascoEnergy BC (1) Inc.,693078-6,BC
