name,num,prefix
JEWELRY.CA-EMALL.CA INC.,372297-0,CA
LOBSTERS.CA-EMALL.CA INC.,372344-5,CA
PRESCRIPTION.CA-EMALL.CA INC.,376172-0,CA
HOBBYSHOP.CA-EMALL.CA INC.,376429-0,CA
SPORTSBET.CA-EMALL.CA INC.,376430-3,CA
DECORSHOP.CA-EMALL.CA INC.,376431-1,CA
DEBTS.CA-EMALL.CA INC.,376432-0,CA
GOURMETSHOP.CA-EMALL.CA INC.,376434-6,CA
PULPANDPAPER.CA-EMALL.CA INC.,376435-4,CA
MyLegalClinic.ca,887166-3,CA
BarStyle.ca Inc.,1275333-2,CA
Beauty.ca Inc.,369568-9,CA
Bereket.ca Incorporated,1148644-6,CA
VITRERIE CA INC.,175209-0,CA
TheBoatCard.ca Inc.,370913-2,CA
SOLUTIONS CA INC.,607313-1,CA
moveus.ca Inc.,615356-9,CA
EXPOLIST.CA  INC.,621220-4,CA
photosportive.ca inc.,628211-3,CA
matonvu.ca inc.,701519-4,CA
MoversPlus.ca Inc.,735028-7,CA
hungrynow.ca INCORPORATED,815942-4,CA
House.ca Inc.,1150917-9,CA
fightfor.ca inc.,1680071-8,CA
Gestion CA2 inc.,713037-6,CA
Our72Stories.ca,1430850-6,CA
ALLIANCE CANADIENNE (AC-CA),030460-3,CA
CA-RON AMUSEMENTS LTD.,009532-0,CA
ANDREWS DEVELOPMENT CA CORP.,799040-5,CA
Artefacts.Online CA Inc.,1288737-1,CA
Doctor.ca (Barynet) Corp.,362849-3,CA
ELECTRICITY.CA (BARYNET) INC.,363550-3,CA
NETGROCER.CA (BARYNET) INC.,363553-8,CA
JEWELLERY.CA (BARYNET) INC.,363554-6,CA
GOTO.CA (BARYNET) INC.,363555-4,CA
SHAREWARE.CA (BARYNET) INC.,363558-9,CA
EBOOK.CA (BARYNET) INC.,363560-1,CA
BRATCH REVIEW.CA INC.,340053-1,CA
GENISYSTEMS.CA SERVICES INC.,360424-1,CA
PHARMACY CANADA.CA INC.,362623-7,CA
Wine.ca XistNet Inc.,365421-4,CA
Taxes.ca XistNet Inc.,366236-5,CA
EMALL-PERFUME.CA INC.,367073-2,CA
Library.ca XistNet Inc.,367485-1,CA
DOT-CA HOLDINGS INC.,370838-1,CA
GRAPHIC IEDE.CA INC.,380490-9,CA
SAMANTA.CA PROPERTIES INC.,420107-8,CA
MDTOTAL.CA SOFTWARE INC.,437318-9,CA
WQR.CA GROUP INC.,840338-4,CA
Korn Ferry (CA) Ltd.,1116013-3,CA
Korn Ferry (CA) Ltd.,1203411-5,CA
young hope foundation ca,1317818-8,CA
&Ccedil;A BOUGE FASHIONS INC.,339257-1,CA
FREEAIRFARE.CA SERVICES INC.,427444-0,CA
CA PACKER COMPONENTS INC.,1549361-7,CA
JE-MI-CA INVESTMENTS INC.,229210-6,CA
VMS Virtual MachineShop.ca Inc.,380689-8,CA
MM-HOME-CANADA.CA INC.,678671-5,CA
NAWM FACILITY MAINTENANCE.CA INC.,726608-1,CA
PNEU.CA SIMPLEMENT G&Eacute;NIAL INC.,792739-8,CA
SERVICES &Eacute;DUCATIONNELS STUDYCANADA.CA INC.,951747-2,CA
Nova Global Logistics CA Ltd.,1582628-4,CA
LES INVESTISSEMENTS M3CA INC.,713424-0,CA
SPECTACLES.CA BILLETS &Agrave; RABAIS INC.,694336-5,CA
Immobilier 2BD.CA inc.,1363593-7,CA
Immobilier 2BD.CA inc.,1097268-1,CA
By Roxy Operations (CA) Ltd.,905741-2,CA
THE WHEEL SHOP CA INC.,1667217-5,CA
AB2.CA - &Eacute;tude L&eacute;gale Inc.,696774-4,CA
Recherche et d&eacute;veloppement Everon CA inc.,719562-1,CA
"Transax.ca r&eacute;seau r&eacute;gional d`affaire, Inc.",895645-6,CA
TRANS-ACTIONS.CA AGENCE IMMOBILI&Egrave;RE INC.,1111160-4,CA
THE AV PRESERVATION TRUST.CA,329866-3,CA
RCDA.CA-LE REGISTRE CANADIEN DES ANIMAUX INC.,652733-7,CA
MSDN.CA MULTI-SERVICE DOMAIN NAMES LTD.,645187-0,CA
CA.CA-EMALL.CA INC.,372298-8,CA
LES PRODUITS ET SERVICES ADH&Eacute;SIFS POS-TAPES.CA INC.,447607-7,CA
Association des Jeux des Ma&icirc;tres d&#39;Hiver et d&#39;&Eacute;t&eacute; CA,422550-3,CA
FONDATION POUR LE D&Eacute;VELOPPEMENT CANADO-VIETNAM (F.D.CA-VI),339543-0,CA
CAN.CA WEB HOSTING AND DOMAIN NAME SERVICES LTD.,642358-2,CA
Say &Ccedil;a! Circle of Support for Refugee and Newcomer Students,1020658-0,CA
Faistescheveux.com  Incorpor&eacute;e,1222114-4,CA
BOOKSTORE.CA-EMALL.CA INC.,374641-1,CA
"FUNERAL.CA-EMALL,CA INC.",372299-6,CA
THERAPY.CA-EMALL.CA INC.,372300-3,CA
MOVIESONDEMAND.CA-EMALL.CA INC.,372343-7,CA
CIGARSHOP.CA-EMALL.CA INC.,372345-3,CA
LETTEROFCREDIT.CA-EMALL.CA INC.,372346-1,CA
NAFTA.CA-EMALL.CA INC.,372348-8,CA
LICENSE.CA-EMALL.CA INC.,372349-6,CA
