name,num,prefix
DA SALON INC.,911262-6,DA
DA REAL ESTATE INC.,1509269-8,DA
DA &amp; AA HOLDINGS INC.,103576-2,DA
DA &amp; AA HOLDINGS INC.,991627-0,DA
ADDEN-DA CIE LTEE -,091872-5,DA
BEN-DA TRADING INC.,290076-9,DA
DA BENCI SERVICES INC.,366908-4,DA
DA MAINLAND CAPITAL INC.,438613-2,DA
Media Da-Lee Inc -,003025-2,DA
DA TONELLI FOODS INC.,132668-6,DA
DOO-DA TRANSPORT INC.-,228816-8,DA
DA GAMA IMPORTS INC.,330876-6,DA
FONDATION ADF/LOUIS-DA SILVA,388188-1,DA
LES ALIMENTS DA VINCI LTEE,049504-2,DA
Da Chung Bao News Ltd.,225779-3,DA
Leonardo da Vinci Community Centre,351656-3,DA
MARIA DA COSTA DESIGN INC.,415259-0,DA
DA TANG INTERNATIONAL TRADING INC.,335034-7,DA
DA PEPPINO SALAMI ET FROMAGE INC.,106291-3,DA
A DI DA PHAT BOUDDHIST ASSOCIATION,917206-8,DA
Restaurant Da Giovanni Ancora Ouest Inc.,310434-6,DA
DA PLAICE LOUNGE AND RESTAURANT INC.,1573052-0,DA
DEREK DA COSTA MEDICAL SERVICES INC.,865989-3,DA
Studio graphique Diego Piccini da Todi Inc.,661515-5,DA
Suli da Guli Georgian Bakery no. 1 Inc.,1530073-8,DA
DA3 INC.,1246115-3,DA
DA&amp;Assoc. Incorporated,1131500-5,DA
Be Da Corp.,757787-7,DA
Opera da Camera,830473-4,DA
DA Canada Inc.,1025046-5,DA
Da Vida Corp.,1017254-5,DA
DA QIAO  CORPORATION,829576-0,DA
DA CREATIVE INC.,1297730-3,DA
DA TULIO&#39;S LTEE,005816-5,DA
DA PARISI LTEE,029603-1,DA
KANG DA LTD.,295864-3,DA
SKA.DA INC.,659862-5,DA
DA&amp;K Inc.,812460-4,DA
YUN DA LTD.,870206-3,DA
Da Jiu Ltd.,1139370-7,DA
DA ZHAN LTD.,1167452-8,DA
Da Rosalie Foundation,1275008-2,DA
Da&#39;Rose Inc.,1317304-6,DA
DA Fitness Ltd.,1418320-7,DA
DA STREETZ Inc.,1427094-1,DA
Da Fabuls Inc.,1465147-2,DA
DA HEALTHCARE INC.,1482496-2,DA
Da Doria Ltd.,1592685-8,DA
DA1 Construction Inc.,1149161-0,DA
2DA Consulting Corp.,1405724-4,DA
DA2 Creative Inc.,1563234-0,DA
3DA TELECOM CORPORATION,632851-2,DA
DA YANG 9996 LIMITED,1374666-6,DA
DA Consulting &amp; Advisory Inc.,1530596-9,DA
Da New Age Inc.,1555893-0,DA
Da Ai Culture Foundation,1083246-4,DA
DA Droid Arts Inc.,1733055-3,DA
Driver Associate DA Corp.,1174475-5,DA
DA-JE-AT CORP.,129242-1,DA
BALLI DA DHABA INC.,1547279-2,DA
Be-Da Logistics Inc.,1336564-6,DA
BEATZ TO DA STREETZ,441978-2,DA
Da &amp; Ben delivery Corp.,1167213-4,DA
Sarbat Da Bhala Inc.,1057668-9,DA
BOUTIQUE DA VANNI INC.,184476-8,DA
J&#39;DA Boutique Inc.,1419604-0,DA
Da Hot Box Inc.,1342243-7,DA
Outside Da Box Corp.,1489561-4,DA
Skip da Boxes Ltd.,1141793-2,DA
BRASSERIE FRAN.-DA. INC.,217084-1,DA
DA MOUND BUILDERS Corp.,1618975-0,DA
DA VINCI BUILDERS INC.,1653233-1,DA
da BUKATERIA Restaurant Inc.,1520223-0,DA
CHUNG DA CANADA INC.,284082-1,DA
DA Consulting Canada Inc.,1336853-0,DA
Carbon Da Capo Inc.,1636255-9,DA
DA CAREGIVERS INTERNATIONAL CORP.,1558457-4,DA
Da Dongua Catering Corp.,1025132-1,DA
Cha Da Cup Ltd.,1513836-1,DA
SHENG DA COMPANY LTD.,1010192-3,DA
DA Global Consultants Incorporated,662194-5,DA
Da Source Consulting Inc.,658667-8,DA
DA Orser Consulting Inc.,975227-7,DA
da Mota Consulting Ltd.,1613322-3,DA
Da-Key Solutions Corp.,1170565-2,DA
Da Real Deal Corp.,1478035-3,DA
Da Lang International Corporation,706554-0,DA
DA JIUJIU SAUCE Corporation,1389123-2,DA
Da Panda Panda Corporation,1694630-5,DA
DA CORTE HOLDINGS Inc.,1424792-2,DA
da Costa Solutions Inc.,947159-6,DA
Solutions Da Cruz inc.,634431-3,DA
LIN-DA PRODUCTIONS LTD.,079907-6,DA
RESTAURANT DA RICARDO INC.,082931-5,DA
VP - DA RESTAURANT INC.,122859-5,DA
TA DA! DRAMA INC.,824307-7,DA
DA HERB SPOT INC.,1007845-0,DA
Da Silva Trucking inc.,1360888-3,DA
XIN DA TRADING INC.,194063-5,DA
