name,num,prefix
ALIMENTATIONS DEN-FA LTEE,070572-1,FA
FA Systems Technologies Inc.,1754533-9,FA
FA MGT GENERAL PARTNER INC.,912686-4,FA
LES FOYERS CLARI-FA INC.,021226-1,FA
FA DO LA PRODUCTIONS INC.,430131-5,FA
EQUIPEMENT INDUSTRIEL FA-MEC M3D INC.,248045-0,FA
FA BANCORP INC.,606664-0,FA
Canada Fa Yuan,1462568-4,FA
FA Collections Corp.,1242104-6,FA
FA Cybersecurity Inc.,1700304-8,FA
FA PRODUCTIONS INC.,659328-3,FA
FA Servers Inc.,819954-0,FA
SOSO-FA Inc.,933678-8,FA
FA GROUP INC.,1237682-2,FA
FA PharmaServices Inc.,1465931-7,FA
FA6 Trading corporation,1098450-7,FA
FA ABW PARTNER INC.,867999-1,FA
FA ABW GP INC.,868005-1,FA
DONG FA (CANADA) CORPORATION,293299-7,FA
FA-SOL CANADA INC.,337201-4,FA
FA Capital Management Inc.,426638-2,FA
FA Cargo Express Inc.,1102109-5,FA
FA Ottawa Construction Inc.,1676737-1,FA
FA Sandhu construction Ltd.,1763324-6,FA
FA Rental Consulting Inc.,1244251-5,FA
GI.FA. CONTRACTING Inc.,896107-7,FA
FA.OR. CONTRACTING Inc.,1100752-1,FA
Qing Fa Trading Corp.,727335-5,FA
FA (Terminal) GP Corp.,1447795-2,FA
Fa` Vecchia Food Corporation,313038-0,FA
QI FA FOOD CORPORATION,1151089-4,FA
FA Duopoly Ventures Inc.,1554487-4,FA
"FA Equipment Finance, Inc.",758396-6,FA
GESTION FA-FOR LTEE.,105891-6,FA
MING FA TRADING LTD.,1011246-1,FA
YUE FA TRADING INC.,231629-3,FA
FA ZHAN UNITED INC.,705013-5,FA
"INCA FA Retailer, Ltd.",929695-6,FA
TONG FA TECHNOLOGY INC.,973123-7,FA
Property Management FA Inc.,1027254-0,FA
FA JOBS SOLUTION LTD.,1078197-5,FA
FA Financial Strategies Inc.,1541886-1,FA
3FA CORE SERVICES LIMITED,1753392-6,FA
Ba and Fa Shop Ltd.,1380038-5,FA
Holistic Nutrition by Fa Inc.,1620608-5,FA
Canadian FA Injection Technology Inc.,404360-0,FA
GUANG FA TRADING COMPANY LIMITED,366796-1,FA
FA TEXTILE DESIGNS INTERNATIONAL INC.,604572-3,FA
FA-LA-DO DISTRIBUTIONS INC.,134802-7,FA
FA STANDARD FOOD EQUIPMENT INCORPORATED,1351040-9,FA
FA FLOORING INSTALLATION SERVICES INC.,1434913-0,FA
Le Groupe FA2L Inc.,440832-2,FA
FA3RIK AI TECHNOLOGIES INC.,1209118-6,FA
LES PRODUCTIONS CL&Eacute; DE FA INC.,272100-7,FA
Tong Fa Global Recycling Materials Inc.,698006-6,FA
FA-YI CHONG-DE GUANG-HUI ASSOCIATION,750028-9,FA
FA&amp;J Real Estate Investors &amp; Developers Inc.,655739-2,FA
LES PRODUCTIONS FOLKLORIQUES INTERNATIONALES NA-FA INC.,076487-6,FA
FB Wound Inc.,1022131-7,FB
FB DERMATOLOGY CANADA INC.,1061162-0,FB
FB PCB DESIGNS INC.,776302-6,FB
MARBLE FB ENTERPRISES INC.,414806-1,FB
GESTION GARANTIE FB INC.,931898-4,FB
Bois de l&#39;Est FB Inc.,391328-7,FB
Bois de I&#39;Est FB (2005) Inc.,364106-6,FB
19 FB INC.,336177-2,FB
3FB LTD.,787387-5,FB
FB ACADEMY INC.,1462596-0,FB
FB APPLIANCES LTD.,1614687-2,FB
FB Precision Inc.,1567696-7,FB
FB Plumbing Ltd.,1683558-9,FB
FB_ROM Consulting Inc.,425287-0,FB
FB Expert Solutions Inc.,1151955-7,FB
NORD MECANIQUE FB INC.,028860-8,FB
Holding France FB Inc.,1530096-7,FB
FK &amp; FB Transportations Inc.,1621237-9,FB
Ziad FB PREC Inc.,1661135-4,FB
FB2B CONSTRUCTION INC.,673936-9,FB
FB2B CAPITAL INC.,673938-5,FB
FB2B Media Inc.,693265-7,FB
FB2U REALTY CORP.,974417-7,FB
FB4Eng Consulting Inc.,1578109-4,FB
BOUTIQUE SPACE FB CANADA INC.,415363-4,FB
FB  FLORENCE BROWN CANADA INC.,1545039-0,FB
FB Inspection &amp; Consultation Services Inc.,856942-8,FB
FB2B LIMO SERVICES INC.,674076-6,FB
FC L&eacute;gal inc.,1423540-1,FC
FC Vision 360 Inc.,1181344-7,FC
FC Applied Research Centre,964057-6,FC
FC Agriculture GP 1 Inc.,1027196-9,FC
FC Flight Critical Consulting Inc.,1404729-0,FC
CUT FC,1400490-6,FC
DASHMESH FC,1535816-7,FC
horyal fc,946119-1,FC
Friends FC,1245755-5,FC
Retro FC,1418255-3,FC
TRICITY FC,1500038-6,FC
NEXTGEN FC,1588114-5,FC
GORKHALI FC,1610193-3,FC
1812 FC BARRIE,1239503-7,FC
AE.FC Inc.,1750793-3,FC
aesthetics FC Inc.,1252929-7,FC
AFRIQUE FC TORONTO,1104947-0,FC
FC Brothers Inc.,685709-4,FC
CINEFLIX (FC) INC.,756923-8,FC
FC LENDERS CORP.,817702-3,FC
FC Daniel-Johnson,1403189-0,FC
Himalayan Dynamos FC,1584370-7,FC
Eagles FC Inc.,1525506-6,FC
FC Entertainment Inc.,1265245-5,FC
FC TIGERS INC.,1192613-6,FC
Lyntell (FC) INC.,232999-9,FC
FC PHARMA INC.,340525-7,FC
GLOBALE FC INC.,355049-4,FC
FC PHARMA INC.,418985-0,FC
FC LINERS INC.,791597-7,FC
Palestine FC Inc.,1128565-3,FC
RED FORCE FC,1141431-3,FC
Total FC Ltd.,1223444-1,FC
Pathway FC Ltd.,1228156-2,FC
FC LEASECO INC.,1301532-7,FC
Summer FC Inc.,1387171-1,FC
FC Lifestyle Limited,1407330-4,FC
Nepalese Peel FC,1426135-6,FC
Prostars FC Foundation,1433748-4,FC
Whales FC Inc.,1447332-9,FC
Grand Lakers FC,1508439-3,FC
INTER NIAGARA FC,1591483-3,FC
Magnet FC INC.,1616266-5,FC
Intamba-Junior FC,1639905-3,FC
Rosso Nero FC,1761447-1,FC
Vanguard FC Foundation,1768815-6,FC
1FC Insurance Inc.,670728-9,FC
1FC Wealth Inc.,1183532-7,FC
AO10FC Inc.,1469377-9,FC
FC149 HOLDINGS INC.,1587427-1,FC
Rolan Classics FC Academy,996202-6,FC
FC ADS &amp; REMARKETING INC.,1460298-6,FC
The FC ARC Corporation,1177751-3,FC
FC TIGERS SOCCER ASSOCIATION,1322232-2,FC
ATLETICO CANADIANS FC INC.,1169820-6,FC
Toronto Bolts FC Limited,1062459-4,FC
CRUZEIRO FC CARPENTRY INC.,1408368-7,FC
The FC Company Inc.,923071-8,FC
Conseils TI FC Inc.,901854-9,FC
FC STAR CONSTRUCTION INC.,1527402-8,FC
FC GENERAL CONSTRUCTION LTD.,1576486-6,FC
FC &Eacute;l&eacute;gance Corporation Inc.,1746677-3,FC
Crombie FC Properties Limited,1111153-1,FC
De Lio FC Inc.,1393964-2,FC
Fc drywall finisher Inc.,1293373-0,FC
FC Entertainment &amp; Hospitality Inc.,1359361-4,FC
Etobicoke Storm Fc Inc.,1734794-4,FC
FC INNOVATIVE SYSTEMS INC.,286205-1,FC
PARTNERS FC VI INC.,768486-0,FC
FC Fire Services Inc.,795461-1,FC
MAGIC SERVICE FC LTD.,849846-6,FC
Midori Market FC Inc.,870842-8,FC
London Great Wall FC,1161788-5,FC
JP Renovations FC Ltd.,1184137-8,FC
International FC Soccer School,1256355-0,FC
FC World IT Incorporated,1328629-1,FC
WESTON PILLARS FC.ORG,1409318-6,FC
WOODSTOCK PUNJAB FC WPFC,1423936-9,FC
FC INVESTMENT GROUP INC.,1446460-5,FC
Reforms FC of Toronto,1495397-5,FC
Holding Fran&ccedil;oys FC Inc.,1530115-7,FC
GTA UNITED FC INC.,1589861-7,FC
Mouton FC services Inc.,1719731-4,FC
Oakville United FC INC.,1743729-3,FC
G2FC Holdings Inc.,923331-8,FC
FC Innovations and Services Inc.,983995-0,FC
APACHE FC CANADA ENTERPRISES INC.,397798-6,FC
APACHE FC CANADA ENTERPRISES INC.,397824-9,FC
Taxreturns.ca FC-EP Inc.,372035-7,FC
RAVENNA FC CA HOLDCO INC.,1767947-5,FC
FC Longterm Care Services Inc.,1623256-6,FC
Condor FC Soccer Club Corp.,1451518-8,FC
PROFESSIONAL FINANCIAL CORPORATION (PRO FC),1161472-0,FC
DIRIAGEN FC JANITORIAL SERVICES INC.,1732642-4,FC
