name,num,prefix
GA ITECH SOLUTIONS INC.,721822-2,GA
MA GA MA SECURITE INC.,203627-4,GA
INVESTISSEMENTS GA-JO-LI KEBUTI INC.,422029-3,GA
GA2GA Inc.,1147487-1,GA
GA-GA PATATES INC.,827879-2,GA
GA AutoFilms Inc.,1458919-0,GA
GA  Carrier Ltd.,1300772-3,GA
Ga-Dangme Foundation,1247594-4,GA
GA-MAX INC.,251581-4,GA
Ga Gitigemi Gamik,1435718-3,GA
GA Telecom Inc.,1627689-0,GA
3GA Properties Inc.,720795-6,GA
GA4GH Inc.,1252031-1,GA
GESTION GA 4162421 INC.,416242-1,GA
GA Advanced Care Inc.,1519741-4,GA
AG-GA Consulting Inc.,1357182-3,GA
GA &amp; AG CONSTRUCTION CORP.,807557-3,GA
AG-GA Investments Inc.,1333009-5,GA
Ga&#39;al Consulting Inc.,794619-8,GA
General Analytics (GA) Incorporated,804467-8,GA
GA Brothers Transport Inc.,634286-8,GA
GA Business Group Inc.,681931-1,GA
GA VENTURES CA CORP.,1681041-1,GA
GA CANADA CONSULTING CORP.,1107194-7,GA
GA Sports Canada Inc.,1221560-8,GA
CANADIAN HI-GA CORPORATION,115799-0,GA
GA Collin Radiologue inc.,1132651-1,GA
GA LAVIGNE CONSULTANT inc.,339072-1,GA
GA Dawson Consulting Inc.,631151-2,GA
Innov&#39;CONSULTING.ga Inc.,1235439-0,GA
GA Hospitality Consulting Inc.,1523971-1,GA
GA Prime Consulting Inc.,1763875-2,GA
GA Strategic Holdings Corp.,1720498-1,GA
GA-OH DESIGN INC.,893502-5,GA
GA Equipment Rentals Inc.,1119754-1,GA
PNEU-GA-MEC LTEE,024527-5,GA
Party ga musician inc.,786200-8,GA
Lee Ga Ting Inc.,1233535-2,GA
GHALIB GA TRANSPORTATION LTD.,1415585-8,GA
GA INDUSTRIES HOLDINGS LIMITED,1447762-6,GA
GA7 Traders &amp; Distributors Inc.,1390640-0,GA
LES AUTOMOBILES GA-PAL LIMITEE,076121-4,GA
Pho Bo Ga La Ltd.,726897-1,GA
PHO BO GA EXPRESS INC.,1242586-6,GA
GA SCOTTISH CORPORATION (CANADA) LTD.,359001-1,GA
LES CREATIONS GA-CO INC.,244478-0,GA
GA.Marcel Marketing &amp; Communication Corp.,1593569-5,GA
KII-GA-DO-WAAK NOOKIMISUK,1222219-1,GA
GA Education &amp; Talent Solutions Inc.,1387022-7,GA
LES PROMOTIONS ME-GA INC.,111029-2,GA
TRANSARCTIC OF SOUTH GA INC.,1687520-3,GA
