name,num,prefix
IA Clarington Investments Inc.,382657-1,IA
IA Clarington Investments Inc.,450650-2,IA
IA Clarington Investments Inc.,771334-7,IA
IA Clarington Investments Inc.,920258-7,IA
IA DIGITAL MARKETING INC.,826671-9,IA
IA DIGITAL MARKETING INC.,987842-4,IA
IA DIGITAL MARKETING INC.,1181149-5,IA
iA Technologies num&eacute;riques inc.,1147512-6,IA
iA Investment Counsel Inc.,960670-0,IA
IA SECURITIES (USA) INC.,636128-5,IA
iA Gestion priv&eacute;e de patrimoine inc.,973087-7,IA
iA Gestion priv&eacute;e de patrimoine inc.,1288891-2,IA
iA Global Asset Management Inc.,1361042-0,IA
iA Wealth Group (USA) Inc.,1389436-3,IA
iA Group Retirement Services Inc.,719846-9,IA
iA Private Wealth (USA) Inc.,1389480-1,IA
iA Wealth Insurance Services Inc.,1552923-9,IA
iA Gestion mondiale d&#39;actifs alternatifs inc.,1648457-3,IA
IA Initiative,1616191-0,IA
BESLOGIQUE IA INC.,1245621-4,IA
IA Environmental Corp.,1455314-4,IA
IA Foods Inc.,1488288-1,IA
Stradigi IA Inc.,1015884-4,IA
TOULON IA INC.,351897-3,IA
IA Multimedia INC.,857232-1,IA
IA Traders Inc.,1102356-0,IA
IA Watson Lt&eacute;e,1187003-3,IA
R&Eacute;VOLUTION IA INC.,1208578-0,IA
Winston IA Inc.,1457937-2,IA
IA Renovations Inc.,1520781-9,IA
NALA IA INC.,1529811-3,IA
Mirabilis IA Inc.,1555061-1,IA
Rubisco IA Inc.,1600306-1,IA
IA Properties inc.,1629610-6,IA
OZBEK:IA INC.,1634274-4,IA
LouiseB.IA Inc.,1655045-2,IA
iA3 Media Inc.,1639500-7,IA
ARC8IA Inc.,1443377-7,IA
INNOVATIONS AGRICOLES IA INC.,140272-2,IA
IA Specr AI Inc.,1639885-5,IA
IA Interior Architects Inc.,928661-6,IA
ia luxury brands inc.,1266882-3,IA
Consultants IA Evitas Inc.,1730453-6,IA
Decelles IA Consulting Inc.,905635-1,IA
IA SQUARE CONSULTING INC.,1751912-5,IA
TA-IA RENO CORPORATION,1273342-1,IA
IA Creative Designs Incorporated,836546-6,IA
Solutions HuloTech IA Inc.,1668567-6,IA
TECHNOLOGIES LEXROCK IA INC.,1176518-3,IA
Ph&eacute;nix Kaizen IA inc.,1705564-1,IA
Solutions Innogene IA Inc.,1722432-0,IA
VIRTUALBEEHIVE IA-QUANTUM  Inc.,1778152-1,IA
R649IA119 Inc.,1481304-9,IA
