name,num,prefix
JA-JA RESTAURANT INC.,250744-7,JA
JA.JO.JA. HOLDING INC.,101238-0,JA
JA-SU IMPORTING INC.,130125-0,JA
Product Expert JA Inc.,1085948-6,JA
JA MORTGAGES SERVICES LTD.,1534082-9,JA
Spence (JA) Family  Holdings Inc.,1295269-6,JA
JA-S TEXTILES CANADA INC.-,247471-9,JA
LES INVESTISSEMENTS JA. LA. BA. INC.,127975-1,JA
LES IMMEUBLES JA-DE-RO INC.,041714-9,JA
JA-MI DISTRIBUTION DE NOUVEAUTES LTEE -,092832-1,JA
ETUDES ET RECHERCHES FINANCIERES JA-DAI-CO LTEE,151131-9,JA
JA6 Inc.,646025-9,JA
9JA Inc.,1054361-6,JA
9JA CONNECT,1190923-1,JA
JA BAKU CORP.,1194715-0,JA
JA-BOI INC.,210616-7,JA
JA Clinic INC.,1024558-5,JA
JA Coffee Inc.,1118831-3,JA
Dr. Ja Inc.,1294258-5,JA
JA Group Inc.,1574115-7,JA
JA Transport Inc.,950279-3,JA
WE&amp;JA INC.,1177080-2,JA
JA Welding Inc.,1252170-9,JA
JA Utility Inc.,1278356-8,JA
JA TRIDENT Inc.,1490311-1,JA
JA MEDIA INC.,1017524-2,JA
JA TOOLS LTD.,1109001-1,JA
JA&amp;JC Limited,1628319-5,JA
250 Jerk Ja Ltd.,1705823-3,JA
JA STUDIO 360 INC.,855592-3,JA
ALIMENTATION JA-LOR LTEE,101139-1,JA
JA Mortgages Brokerage Inc.,1733552-1,JA
CAN-JA RENOVATIONS LTD.,1373546-0,JA
RENOVATIONS JA - CAR INC.,298169-6,JA
JA Carpenter Properties Inc.,1528091-5,JA
LIM Chung Ja Foundation,877538-9,JA
JA Ottawa Construction Inc.,1606009-9,JA
JA prime construction inc.,1622213-7,JA
JA Universal Consultants Inc.,1286206-9,JA
JA Letourneau Consulting Inc.,1566521-3,JA
JA Solution Services Corporation,629545-2,JA
DECORATION JA-MI INC.,144301-1,JA
JA Industrial Design Inc.,1623889-1,JA
GESTION JA DUPONT INC.,726619-7,JA
JA &middot; EL HONEY INC.,324514-4,JA
JA-NEL ENTERPRISES LTD.,047028-7,JA
Island Flavour JA Inc.,1483735-5,JA
JA &amp; J Global Inc.,1285832-1,JA
JA HALAL MEAT INC.,616966-0,JA
JA TEQUILA IMPERIAL INC.,1496033-5,JA
RESTAURATION JA-MA INC.,022532-1,JA
Natures Secret JA Inc.,939480-0,JA
JA Malgo Sales Ltd.,449841-1,JA
JA-TEC RIBBONS LIMITED,088231-3,JA
JA-LINE LOGISTIC LIMITED,1770796-7,JA
JA27 lion stars Inc.,1356046-5,JA
9ja Konnect Restaurant Limited,1618977-6,JA
Ja Beauty and Ink Corp.,1446185-1,JA
JA Superior Art Gallery Inc.,717731-3,JA
JA Student-Athlete Consulting Corporation,1285681-6,JA
JA CANADA AUTO SALES INC.,1531799-1,JA
JA COURIER SERVICES CANADA INC.,948243-1,JA
JA NURSING WE CARE INC,929165-2,JA
SERVICE COMMERCIAL JA-MI LTEE,027698-7,JA
JA&amp;K Consultancy Services LTD.,843290-2,JA
JA Sutherland Consulting Services Inc.,818816-5,JA
SP JA FOODS SIDDHIVINAYAK CORP.,1512612-6,JA
LES DEPANNEURS JA-GUI INC.,124405-1,JA
JA-NET SERVICES DOMESTIQUES INC.,173226-9,JA
Terrassement et Entretien JA Inc.,1303653-7,JA
Ja-Infiniti Financial Services Limited,814876-7,JA
JA&#39;s Key Pawn Trucking Inc.,620787-1,JA
LES RECOUVREMENTS JA-KO LTEE,107298-6,JA
JA&amp;RJ TECH SOLUTIONS LIMITED,1498435-8,JA
9ja Settlement In Canada Inc.,1202355-5,JA
JA WA BEST EFFORT &amp; SUPPORT INC.,600507-1,JA
Kang Gyong Ja Korean Cuisine Ltd.,661993-2,JA
LES PLACEMENTS GI-JA-RO INC.,032274-1,JA
AFGHAN CANADIAN JA&#39;AFARI ISLAMIC CENTRE (ACJIC) INC.,806669-8,JA
GESTION JB-CEL INC.,776013-2,JB
JB CULINARY SOLUTIONS INC.,643517-3,JB
JB DROWNING PRODUCTION INC.,629603-3,JB
JB EDGE PRODUCTION INC.,620509-7,JB
JB Fate Production Inc.,626958-3,JB
NOVOPRO JB HOLDINGS INC.,856260-1,JB
JB Paradox Production Inc.,606050-1,JB
JB UNSEEN PRODUCTION INC.,606204-1,JB
JB Pretenses Production Inc.,623892-1,JB
JB Isolation Production Inc.,624144-1,JB
JB PALACE PRODUCTION INC.,628986-0,JB
JB RUSH PRODUCTION INC.,635095-0,JB
Time by JB Inc.,1728793-3,JB
Bright Futures: A JB Foundation,1575328-7,JB
JB DECORATIVE ARTS INTERNATIONAL INC.,392588-9,JB
JB Associates Capital Group inc.,1327762-3,JB
M&Eacute;DIA JB.BRUNET INTERNATIONAL INC.,411980-1,JB
JB Double T Production Inc.,626790-4,JB
JB Humanitarian II Inc. of Canada,441381-4,JB
JB54 LTD.,996637-4,JB
JB Architect Inc.,1274543-7,JB
JB CHIROPRACTIC INC.,965432-1,JB
JB COLLABORATIONS INC.,1247274-1,JB
JB CONSULTANCY INC.,1394296-1,JB
JB STORAGE CORP.,1041525-1,JB
JJ &amp; JB Corp.,1100716-5,JB
JB Sunflower Corporation,1102112-5,JB
JB Creative Inc.,1136832-0,JB
JB Empire Inc.,1558219-9,JB
JB Haulage Inc.,995876-2,JB
JB Haulage Inc.,1672977-1,JB
JB Haulers Limited,884918-8,JB
JB Hauling Inc.,1680467-5,JB
JB Hauls Ltd.,1386123-6,JB
JB PLAVAM INC.,378610-2,JB
JB WESTON INC.,926782-4,JB
JB Modular Inc.,976446-1,JB
JB Skinguru Inc.,979915-0,JB
JB VEAUX INC.,735243-3,JB
Simply JB Inc.,1127871-1,JB
Maritime JB inc.,1368955-7,JB
JB STAFFING INC.,1410654-7,JB
jb.Randhawa Inc.,1441523-0,JB
JB&rsquo;s Kumarmess Inc.,1448107-1,JB
JB TRADELINKS INC.,1711979-8,JB
JB OTHIAN INC.,1740456-5,JB
JB TRANSTECH Ltd.,1082039-3,JB
JB1 Canada Inc.,634204-3,JB
JB.HARMAN9 INC.,1326951-5,JB
JB Affiliate Network Inc.,1675013-3,JB
JB Ag Consulting Ltd.,1757031-7,JB
JB AgriMed Holdings Limited,1040045-9,JB
Ali &amp; JB Construction Inc.,956809-3,JB
Boucherie JB Allard Inc.,618738-2,JB
Boucherie JB Allard Inc.,1457127-4,JB
JB Always Fresh Inc.,1733950-0,JB
JB Aviation Consulting Inc.,1035477-5,JB
JB Bites &amp; Bevs Inc.,1403979-3,JB
JB Design Build Inc.,720393-4,JB
JB-Global Canada Inc.,839850-0,JB
Canadian JB Dishes Corp.,1323421-5,JB
JB CAPITAL INVESTMENTS INC.,712083-4,JB
JB Car Rentals Inc.,1346182-3,JB
JB Casting Services Ltd.,1338254-1,JB
JB-Sat Communications Limited,662485-5,JB
JB Const Management Inc.,1730677-6,JB
JB Construction Contractors Inc.,1276949-2,JB
JB JayBrand Construction inc.,1289765-2,JB
JB &amp; Maini&#39;s Construction Inc.,1663654-3,JB
JB Tech &amp; Consultants Inc.,1201635-4,JB
JB General Contractors ltd.,1504128-7,JB
SHREE JB TRANS. CORP.,1283369-7,JB
Intact JB Installations Corp.,1686902-5,JB
JB Cruz Holdings Inc.,1044519-3,JB
JB Sports Depot Inc.,1053223-1,JB
JB Media Design Inc.,1227987-8,JB
JB DRYWALL RENOVATIONS INC.,1295316-1,JB
JB Dyaal Transport Inc.,1169354-9,JB
JB &amp; E TRADING INC.,603157-9,JB
JB EAT RIGHT LTD.,389348-1,JB
JB Tradewinds Ecom Inc.,1220231-0,JB
JB Marsh Electrical Inc.,1271359-4,JB
JB Exotic Imports Inc.,942377-0,JB
JB GILL EXPRESS INC.,1665347-2,JB
JB SCHULTZ FAMILY FOUNDATION,1778885-1,JB
JB SERVICES FINANCIERS INC.,1106482-7,JB
JB FINE RUGS INC.,1321833-3,JB
JB FREIGHT TRANSPORT INC.,1345142-9,JB
JB Fresh Harvest Inc.,1769063-1,JB
GB &amp; JB Rentals Inc.,1480045-1,JB
GESTION JB GOYER INC.,086455-2,JB
JB Global Partners Limited,990248-1,JB
JB OVERHEAT GLOBAL LIMITED,1207651-9,JB
