name,num,prefix
KA YUK INVESTMENTS INC.,379755-4,KA
Ka-sa Management Inc.,930339-1,KA
KA-LA-MEL PHARMA LABORATORIES INC.,367546-7,KA
TAI KA LEE FAST FOOD &amp; TRADING CORPORATION,288934-0,KA
KA &amp; KA ADVISORS INC.,1547365-9,KA
KA INTERNATIONAL,1106476-2,KA
KA:T&Euml;L,449818-6,KA
KA.78896 Inc.,1585844-5,KA
Agence Ka Inc.,701006-1,KA
KA Peace &amp; Blessings,1254389-3,KA
Capital KA Inc.,973707-3,KA
KA-CHING INC.,670325-9,KA
Corporation Ka Tshishpeuatak,435616-1,KA
KA Engineering Inc.,633885-2,KA
Ka&#39;nata Foundation,802791-9,KA
G&eacute;n&eacute;ti-Ka inc.,1338605-8,KA
KA Imaging Inc.,921014-8,KA
KA-ROUGE INC.,406338-4,KA
KA SPACE Inc.,932887-4,KA
KA ONLINE INC.,1267541-2,KA
KA &amp; Riah Inc.,1322032-0,KA
KA KARITE Inc.,1332994-1,KA
KA Veterinary Inc.,1388225-0,KA
KA&#39;IT LIMITED,048016-9,KA
KA STUCCO LTD.,1409052-7,KA
RON-KAR MARKETING LTD.,075919-8,KA
KA1 Consulting Corp.,1501553-7,KA
KA2 Xtudio Inc.,1422062-5,KA
TECHNOTO4KA INC.,1446401-0,KA
KA786 International Inc.,1437680-3,KA
KA &amp; AR CONSTRUCTION INC.,1139788-5,KA
Ka-Ni-B Ltd.,1178832-9,KA
M.KA BEAUTY INC.,889361-6,KA
BO-KA INVESTMENTS LIMITED,032638-1,KA
KA Canada Starline Inc.,1154709-7,KA
KA TRADES CANADA INC.,1430906-5,KA
PRABH MILNE KA CHAO,987130-6,KA
De&amp;Ka Chic Inc.,1572371-0,KA
KA Lundy Clearing Inc.,1653399-0,KA
KA COLLISION RECOVERY INC.,842924-3,KA
RL&amp;KA Construction Inc.,1062560-4,KA
KA Construction &amp; Landscaping Inc.,1179142-7,KA
KA Reeves Consulting Corp.,974790-7,KA
Sin Ka Gyuu Corp.,1139813-0,KA
SA &amp; KA LOGISTICS CORP.,1473682-6,KA
KA &amp; NU WORLD CORPORATION,361807-2,KA
DA&Agrave;K K&Agrave; TLINGIT NATION,359791-1,KA
DAKH KA KHWAN INC.,411052-8,KA
