name,num,prefix
Chou La La Fashion Inc.,1013500-3,LA
OH| LA| LA| CREATIONS INC.,149214-4,LA
EAU LA LA MINERAL WATER INC.,214594-4,LA
La Corporation de la Place de la francophonie 2010,447500-3,LA
LA CARTERIE LTEE,050856-0,LA
LA SENZA CORPORATION,131242-1,LA
LA ELEGANCE LIMITED,844969-4,LA
La Patte Fondation,1404951-9,LA
LA SCRAPBOOKERIE INC.,620815-1,LA
LA TOLENA LTD.,050100-0,LA
CONSEIL INTERPROVINCIAL DE LA DIFFUSION DE LA CULTURE - CIDC,033600-9,LA
COURRIER EXPRESS LA PRUNELLE (CEP LA PRUNELLE) INC.,865432-8,LA
The Gohier La Salle Foundation,1255193-4,LA
Fondation de La Turquoise,1724674-9,LA
LA COMPAGNIE DE PUBLICATION DE LA PATRIE (LIMITEE),012604-7,LA
ANIMALERIE LA NICHE INC.,008784-0,LA
ENTREPRISES LA BALANSELLE INC.,265143-2,LA
Fabrique Familiale La Cabane,1164977-9,LA
LA CANADIENNE SHOES INC.,1023019-7,LA
ENTREPRISES LA CANADIENNE INC.,1149596-8,LA
VETEMENTS LA CHARITE INC.,054915-1,LA
LA CITE FASHIONS INC.,164992-2,LA
La Qu&eacute;bec Cr&eacute;ative Connexion,1347870-0,LA
CONSTRUCTION LA MAISONNEE LTEE,047930-6,LA
LA C&Ocirc;T&Eacute; CORPORATION Inc.,661038-2,LA
DEVELOPPEMENTS NOR-LA LTEE,040988-0,LA
RESTAURANTS LA DIFFERENCE LTEE,083423-8,LA
&Eacute;ditions La Diff&eacute;rence Inc.,609066-4,LA
LA PRESSE DIGITALE INC.,138508-9,LA
LA SENZA DISTRIBUTION INC.,412201-1,LA
DISTRICT LA ROLLAND INC.,1069436-3,LA
DIVERTISSEMENT LA ROLLAND INC.,911563-3,LA
La Ruche Divertissement Inc.,913539-1,LA
La Senza Equities Inc.,325414-3,LA
LA FAYETTE MEATS INC.,270274-6,LA
FONDATION LA FOURMI VERTE,1004779-1,LA
P&Acirc;TISSERIE LA GERMANIQUE INC.,1064264-9,LA
GESTION LA ROLLAND INC.,911567-6,LA
GROUPE LA ROLLAND INC.,968245-7,LA
HOFFMANN-LA ROCHE LIMITED,045495-8,LA
HOFFMANN-LA ROCHE LIMITED,228637-8,LA
HOFFMANN-LA ROCHE LIMITED.,310404-4,LA
HOFFMANN-LA ROCHE LIMITED,350844-7,LA
HOFFMANN-LA ROCHE LIMITED,450515-8,LA
HOFFMANN-LA ROCHE LIMITED,907532-1,LA
LA MORGIA HOLDINGS INC.,125247-0,LA
LA RICCA HOLDINGS INC.,175801-2,LA
La Senza Holdings Inc.,291544-8,LA
La Vita Imports Inc.,453359-3,LA
IMPRIMERIE LA-JAZ INC.,214473-5,LA
RESTAURANT LA SILA INC.,025930-6,LA
LA PECHE SANITATION INC.,033891-5,LA
"LA PECHE LIBRARY, INC.",049087-3,LA
LA-RU TRUCKING INC.,112704-7,LA
PRECISIONS LA-MUR INC.,147922-9,LA
SCIERIE LA ROUGE INC.,313337-1,LA
PRODUCTIONS LA M&Iuml;NCHE INC.,350321-6,LA
LITERIE LA-LU INC.,390423-7,LA
LA Nano Renew inc.,1663549-1,LA
LA MER INVESTMENTS LTD.,028518-8,LA
LA PLATA INVESTMENTS LTD.-,310446-0,LA
LA PLACE PLEATING LTD.,025129-1,LA
LA PEPINIERE STABLES LIMITED,043668-2,LA
LA POTAGERIE RESTAURANT LTD.,050351-7,LA
LA TULIPE MANAGEMENT LTD.,165385-7,LA
LA NORD- COTI&Egrave;RE PRODUITS DE LA MER INC.,422223-7,LA
La Wisdom House Association,1661896-1,LA
LA BELLE PETROLEUM LTD.,274627-1,LA
