name,num,prefix
NA &amp; Cie Inc.,1301877-6,NA
"AERTIS GROUP NA, INC.",859471-6,NA
JO-NA AUTO INC.,352591-1,NA
REPLENOLOGY HAIR NA CORP.,1625778-0,NA
PAULIN NA INVESTMENTS INC.,729836-6,NA
MARKETING LI-NA LTEE.-,050667-2,NA
Na&#39;Hash Ventures Inc.,687704-4,NA
CANADIAN TUI NA ASSOCIATION,429815-2,NA
Maple NA30 Holding Inc.,904310-1,NA
AL NA&#39;AMA COMPUTERS INC.,295154-1,NA
CANADIAN FUR COMPANY (NA) LTD.,034673-0,NA
CCAS KUMBA 1995 EX-STUDENTS INTERNATIONAL CK-95,1140138-6,NA
CANADA AGRI-FOOD SUPPLIER ALLIANCE,1192563-6,NA
Ebenezer Foundational Healing Church,1052672-0,NA
Igbo Council of Chiefs and Nze Na Ozo Canada Inc.,1737340-6,NA
ATAO NA INC.,444345-4,NA
NA-AUCTION INC.,910302-3,NA
AYUSYA.NA INC.,977212-0,NA
BCS (NA) Ltd.,1330041-2,NA
NA Caremax Ltd.,966168-9,NA
NA Cargo Inc.,1154854-9,NA
CodraH NA Inc.,716970-1,NA
COMOTECH NA INC.,1049863-7,NA
Corewise NA inc.,1761506-0,NA
NA METALS CORP.,1069602-1,NA
NA MICROSAT CORPORATION,274801-1,NA
Domodedovo NA Inc.,638926-1,NA
FCB NA LTD.,1316700-3,NA
JO-NA FOUNDATION,1130566-2,NA
HEMPFLAX NA LTD.,999027-5,NA
ILITOO-NA LIMIT&Eacute;E,695647-5,NA
"KILLTEC NA, INC.",428763-1,NA
Validus NA Inc.,921945-5,NA
NA-LAAN INC.,958268-1,NA
SANAIMPEX NA INC.,708078-6,NA
NA Power Inc.,1133614-2,NA
NA Management Inc.,1246111-1,NA
NA Search Inc.,272848-6,NA
Validus NA Inc.,1464547-2,NA
MEFA-NA Inc.,1469709-0,NA
Jagoda NA Ltd.,1158706-4,NA
NA Kitchen Limited,1036693-5,NA
NA Sports Leagues,1765122-8,NA
WMTCo NA Ltd.,1140086-0,NA
TUMBA-NA-RUMBA,1310166-5,NA
Na&#39;Hash Entertainment Inc./Divertissement Na&#39;Hash Inc.,699608-6,NA
Na2uralz Inc.,1201706-7,NA
MAUR3NA Inc.,1605908-2,NA
NA DIRECT 724 INC.,1150671-4,NA
NA786 TRANSPORTATION INC.,691112-9,NA
NA&#39;AMAT CANADA INC.,056589-0,NA
BOOSTED NA Apparel Limited,1571733-7,NA
NA Asset Group INC.,707332-1,NA
NA ATSESTA ENERGY LTD.,062758-5,NA
NA-TEK AUTOMATION GROUP,334853-9,NA
Cavo Automotive NA Inc.,1051014-9,NA
AXIUM NA PARTNER INC.,834149-4,NA
BCS (NA) Holdings Ltd.,1326826-8,NA
BHT TECHNOLOGIE NA INC.,1526708-1,NA
Greenlane Biogas NA Limited,721400-6,NA
Bookkeeping Plug NA Inc.,925273-8,NA
Bridor Holding NA Inc.,909911-5,NA
Evraz Inc. NA Canada,448246-8,NA
Evraz Inc. NA Canada,450358-9,NA
NA TRANSBULK CANADA LIMITED,154442-0,NA
