name,num,prefix
OA TECHNOLOGIES Inc.,1448308-1,OA
OA1 Solutions Limited,1627962-7,OA
OA DISTRIBUTORS (CANADA) INC.,243152-1,OA
OA Captioning &amp; Reporting Inc.,1128079-1,OA
OA Care Professionals Inc.,1363780-8,OA
Beck OA Holdings &amp; Associates Inc.,909778-3,OA
OA OCEAN ATLANTIC LOGISTICS INC.,1356630-7,OA
OA FOOT STEPS VIRTUAL INTERGROUP (OAFSVIG),1461178-1,OA
OB Equipment Sale and Rental Ltd.,986666-3,OB
OB Business inc.,1604370-4,OB
OB CARES ONTARIO,1138479-1,OB
&Ocirc;B CONSEILS INC.,709787-5,OB
OB ENGINEERING LTD.,859956-4,OB
OB Patents Inc.,1089682-9,OB
OB+ SANT&Eacute; INC.,1264793-1,OB
OB Towing limited,1047357-0,OB
OB Stone&#39;s Ltd.,1476727-6,OB
OB1 Records Inc.,395997-0,OB
OB CANADA (1982) INC.,134757-8,OB
OB PRESTIGE AUTO INC.,828928-0,OB
Construction J.OB Limit&eacute;e,689955-2,OB
OB Quality Construction Ltd.,1385113-3,OB
OB Flooring &amp; Painting Inc.,1348711-3,OB
GESTION OLIVIER OB INC.,1283467-7,OB
OB IT SOLUTIONS INC.,1415770-2,OB
Welcome to OB/GYN Inc.,1662428-6,OB
OC Concepts Inc.,659699-1,OC
OC Movers Canada Inc.,1698255-7,OC
Odyss&eacute;e Culture OC Inc.,369245-1,OC
OC Celfortec Inc.,439911-1,OC
OC CELFORTEC INC.,329059-0,OC
OC - eSports Corporation,1215316-5,OC
Cr&eacute;ation OC Inc.,785320-3,OC
OC Supplements Inc.,1450375-9,OC
OC Rentals inc.,1580638-1,OC
Orangeville OC Limited,1432643-1,OC
OC&#39;s Restaurants Ltd.,775444-2,OC
OC88 Consulting inc.,1597344-9,OC
OC &amp; C Trading Inc.,1211339-2,OC
OC FILMS (CANADA) INC.,837769-3,OC
OC Canada Finance Inc.,664531-3,OC
OC OPTICAL CENTER INC.,1602548-0,OC
LES CHALETS OC INC.,1326857-8,OC
OC Collection Premium inc.,1771776-8,OC
OC Financial Services Inc.,345580-7,OC
4OC Health &amp; Wellness Inc.,1215220-7,OC
OC Interactive Digital Agency Corp.,1228770-6,OC
Cha Oc Ha Noi Inc.,1403469-4,OC
OC-OR IMPORT-EXPORT INC.,298814-3,OC
GETTING THERE MAGAZINE PUBLISHING OC. LTD.,195182-3,OC
OD Awareness Alberta,1657626-5,OD
OD D&Eacute;VELOPPEMENT Inc.,1318671-7,OD
"Distribution OD, Inc.",927146-5,OD
OD ENGINEERING INC.,710547-9,OD
OD Ventures Inc.,1333639-5,OD
OD &amp; Partners Inc.,1440185-9,OD
OD Value Inc.,1500337-7,OD
OD MOTORS INCORPORATED,1377719-7,OD
A. Scalia OD Inc.,1582629-2,OD
OD Glamor&eacute; Care Inc.,1530926-3,OD
OD MIKAYI COMMUNITY ORGANIZATION,1672406-0,OD
Lara OD Management Corp.,1310620-9,OD
CREERY OD SOLUTIONS INC.,275524-6,OD
DESIGNS OD ZAKLIN INCORPORATED,228415-4,OD
Elana Floriani OD Inc.,1645583-2,OD
GL-OD HOLDINGS INC.,1129309-5,OD
OD ONE TRUCKING INC.,1063150-7,OD
OD&amp;D Virtual Consulting Incorporated,872599-3,OD
DOMAINE DES VIGNOBLES &Otilde;D&#39;AYLMER! INC.,292643-1,OD
OE FINANCIAL SERVICES INC.,224294-0,OE
OE INC.,055044-2,OE
OE HAMILTON INC.,229218-1,OE
OE Youth Student Association,1077815-0,OE
OE JANITORIAL SERVICES INC.,1747313-3,OE
OE-FIT AUTOMOTIVE BRAKES INC.,897362-8,OE
OE gluten-free products Ltd.,1276529-2,OE
"The OE, Business Services and Consulting Group Inc.",1773710-6,OE
FENGATE OE REAL ESTATE DEVELOPMENT FUND GP INC.,1197311-8,OE
FENGATE OE REAL ESTATE DEVELOPMENT FUND II GP INC.,1326667-2,OE
SOVEREIGN MILITARY ORDER OF SAINT JOHN OF JERUSALEM KNIGHTS OF MALTA,160431-7,OF
AIRWICK OF CANADA LTD.,142171-9,OF
AQUASCUTUM OF LONDON LTD.,030392-5,OF
BILTWIN OF CANADA LIMITED,032518-0,OF
TONS OF TOONS CORPORATION,367834-2,OF
Souljah of Fortune Incorporated,1212342-8,OF
BACK OF HOUSE CATERING INC.,886463-2,OF
LITTLE BITS OF GOOD FOUNDATION,1061454-8,OF
COLLECTIONS OUT OF BOUND INC.,1517190-3,OF
Bridge of Hands Entertainment Inc.,433437-0,OF
GOLD REEF OF CANADA LTD.,044839-7,OF
PERSONALIZE-IT OF CANADA LTD.,056444-3,OF
Construction House of Jazz Inc.,793230-8,OF
RAINBOW OF DREAMS PRODUCTIONS INC.,401092-2,OF
PRODUCTIONS HALL OF FAME INC.,196534-4,OF
SOCIETY FEVER OF SUN LTD.,263263-2,OF
PRODUCTIONS FIRE OF LOVE INC.,1256894-2,OF
Tower of Song Productions Inc.,1318139-1,OF
WORLD OF WAGMI MEDIA INC.,1344752-9,OF
PUBLICATIONS KINGS OF KINGS INC.,313528-4,OF
