name,num,prefix
Corporation ENCAM PA,1056157-6,PA
PA Folot Consulting Inc.,664278-1,PA
DU-PA INDUSTRIES INC.,003958-6,PA
GESTION PA-PEE INC.,288289-2,PA
Immobilier PA Marcoux Inc.,1124626-7,PA
LES ECLAIRAGES PA-CO INC.,073035-1,PA
LA FERME FRAN-PA LTEE -,091032-5,PA
PA Alternative Investments Inc.,1165170-6,PA
PA CONSULTING GROUP INC.,012571-7,PA
DISTRIBUTIONS PA-LI-PER LTEE,185373-2,PA
K-PA-SAW MANUFACTURING INC.,294944-0,PA
IMPORT/EXPORT PA-LI-PER LTEE,196389-9,PA
LES DISTRIBUTEURS INDUSTRIELS PA-RON JL INC.-,147390-5,PA
Ma &amp; Pa WORLD WIDE CARGO (Canada) Inc.,318626-1,PA
PA.ai Inc.,1561397-3,PA
Pa&#39;s Cider Inc.,1170644-6,PA
PA FT CORP.,916190-2,PA
PA DATA INC.,119835-1,PA
PA Detailing Inc.,1295136-3,PA
PA MOJA FOUNDATION,396342-0,PA
PA Geomatics Inc.,664152-1,PA
PA Global Inc.,1593072-3,PA
PA Networks Inc.,1477850-2,PA
Pa NJIs Inc.,1682394-7,PA
PA Products Inc.,1772437-3,PA
LSHI PA Limited,1616741-1,PA
SHAPICHLER PA Limited,1616781-1,PA
Pa1 Consulting Inc.,1419362-8,PA
234PA715 INC.,763910-4,PA
PA Pure Additions Inc.,278288-0,PA
PA.VI.AL.LTD.,197591-9,PA
AP Holdings PA Inc.,1353317-4,PA
PA Apex Capital Inc.,1310460-5,PA
PA&#39;ZIKA APPAREL Inc.,1287215-3,PA
Pa&#39;Lante Apparels INC.,1120639-7,PA
DISTRIBUTION PA CANADA INC.,711083-9,PA
RESTAURANT CHEZ PA INC.,150668-4,PA
PA&amp;CN Trading Corporation,1510445-9,PA
PA ELECTRICAL COMMISSIONING  CORP.,991385-8,PA
PA HYGIENE SERVICES CORP.,355304-3,PA
PA Custom Services Inc.,1522902-2,PA
PA Dubois &Eacute;lectrique Inc.,166854-4,PA
PA-GRA ENTERPRISES LTD.,364468-5,PA
PA&amp;HA Express Inc.,998467-4,PA
H.PA Safe INC.,642319-1,PA
Pa Kua School Inc.,1317916-8,PA
PA SPATIAL SOLUTIONS INCORPORATED,875645-7,PA
PAI-PA TAXI LIMITED,121226-5,PA
Pri-Pa Services Ltd.,1424321-8,PA
PA West Services Ltd.,1440842-0,PA
PA truck sales Ltd.,1540217-4,PA
PA-TU-RO LTEE,022209-7,PA
B2PA CONSTRUCTION INC.,1499153-2,PA
PA ABEX ACQUISITION CANADA INC.,236956-7,PA
PA CANPARTS ACQUISITION CANADA INC.,236955-9,PA
ASSOCIATION KWUICHUE PA&#39;AHOM CANADA,1756450-3,PA
PA HOMES AND CONSTRUCTION INC.,1401840-1,PA
PA BARIL RELATIONS GOUVERNEMENTALES INC.,641427-3,PA
BOUTIQUE C&#39; PA&#39; PIR INC.,005355-4,PA
PA HAUTE COUTURE CANADA INC.,700805-8,PA
Girl PHK (Pa-ck) Inc.,1429855-1,PA
CREATIONS DU CO PA INC.,018071-8,PA
Tone Communications PR &amp; PA Ltd.,1752359-9,PA
Professional Auditors Global (PA Global) Inc.,1602275-8,PA
DECOR D&#39;AUTOS PA-JO INC.,047989-6,PA
PA DEVELOPMENT FOUNDATION OF CANADA INC.,443668-7,PA
LES TRANSPORTS PA-PY LASNIER INC.,163550-6,PA
SOCIETE DE GESTION STE-PA-VI LTEE,117089-9,PA
PA Media Luxury Homes Of The World Inc.,827492-4,PA
LES PRODUITS ALIMENTAIRES-IMPORTATION ET DISTRIBUTION PA-ID INC.,409342-9,PA
"APAP-PA, Association pour la promotion de l&#39;activit&eacute; physique de la P&eacute;ninsule Acadienne",444923-1,PA
Services PB Canada Inc.,367550-5,PB
EYESTEEL (PB) PRODUCTIONS INC.,1624844-6,PB
PB Consulting and Management inc.,1098534-1,PB
PB Proprietary Brand Sourcing Inc.,755581-4,PB
LES TRAITEMENTS DE SURFACE PB CANADA INC.,294979-2,PB
PB Inc.,1253675-7,PB
PB Axis Inc.,1369645-6,PB
PB Benefits Inc.,1271675-5,PB
PB Capital Inc.,973791-0,PB
PB consultation incorpor&eacute;e,962316-7,PB
PB ZEROTWO Corp.,1536802-2,PB
PB Distribution Inc.,639168-1,PB
PB SHOES INC.,208188-1,PB
Mandax PB Inc.,866133-2,PB
PB Lasers Inc.,912475-6,PB
PB Technologies Inc.,1138939-4,PB
PB Tasty Inc.,1216094-3,PB
PB Transport Inc.,1415224-7,PB
PB Markets Inc.,1504103-1,PB
PB MAPLE INC.,1537811-7,PB
PB Roadways Ltd.,1610980-2,PB
PB010 Carriers Inc.,1328647-9,PB
PB02 Chahal Corp.,1510537-4,PB
HUNDAL PB02 INC.,1515712-9,PB
PB02Heir Inc.,1516815-5,PB
PB02 Courier Limited,1545406-9,PB
PB03 TRANSPORT LTD.,1174764-9,PB
PB03 Music Inc.,1515139-2,PB
PB04 TRANSPORT INC.,972901-1,PB
MATTABRAR PB04 LTD.,1261524-0,PB
PB04 CARRIERS INC.,1464947-8,PB
Pb04 Haulers Inc.,1732778-1,PB
PB047257 TRANSPORT INC.,1524558-3,PB
PB-05 CORPORATION INC.,1347065-2,PB
PB06-YYZ  Inc.,1237542-7,PB
PB-06 Freight Ltd.,1290210-9,PB
PB 06 Transport inc.,1334219-1,PB
PB08 Transportation Ltd.,1244232-9,PB
PB09 LOGISTICS INC.,1605557-5,PB
PB09Navigators inc.,1737882-3,PB
whipback PB1 inc.,405047-9,PB
PB10GD INC.,1543061-5,PB
PB10X CORPORATION,1561501-1,PB
PB11 Productions Ltd.,1356484-3,PB
PB11 Logistics Ltd.,1261855-9,PB
PB11 Transport Inc.,1274361-2,PB
PB11 TRANS inc.,1399446-5,PB
PB11 EXPRESS INC.,1513396-3,PB
PB 11 Renovations Ltd.,1655511-0,PB
PB 13 Transport Inc.,1328068-3,PB
PB13 Trucking Inc.,1328700-9,PB
PB13 Contractors Inc.,1465464-1,PB
PB13 MANN Corp.,1546014-0,PB
PB134300 TRANSPORT LTD.,1501089-6,PB
PB14 Logistics Inc.,1394368-2,PB
PB15 logistics ltd.,1536447-7,PB
PB 17 Logistics Inc.,1282593-7,PB
PB 18 Express Inc.,1346080-1,PB
Gill PB18 Ltd.,1764771-9,PB
