name,num,prefix
RA Mobile Installations Inc.,1250265-8,RA
SERENA &amp; SHEE-RA HOSIERY INC.,370842-0,RA
ENTREPRISES SHALLAH RA/BA/LO INC.,252142-3,RA
RA RA RAW INC.,625963-4,RA
MedAlign AR Inc.,1528257-8,RA
Ma &amp; Ra Corp.,1548860-5,RA
MEY-RA CORPORATION,1279090-4,RA
ECLAIRAGE RA INC.,158996-2,RA
STUDIO RA INC.,616040-9,RA
RA matrix inc.,652604-7,RA
RA Migration Inc.,1151926-3,RA
RA Wealth Inc.,1509630-8,RA
RA&#39;S PLACE INC.,1549218-1,RA
Multiservices RA inc.,1647983-9,RA
RA&amp;T Inc.,1704601-4,RA
RA SYNERGY LTD.,716112-3,RA
RA SOLAR LTD.,733496-6,RA
Ra Trades Ltd.,1402524-5,RA
13RA  TRANSPORT INC.,1494681-2,RA
RA4 GROUP Inc.,841441-6,RA
RA SPE 599 Inc.,1216534-1,RA
RA Architecture &amp; Design Inc.,1315243-0,RA
RA Armstrong Consulting Inc.,1367258-1,RA
Atla Ra Publishing Incorporated,927400-6,RA
Atla Ra Estates Incorporated,994006-5,RA
RA &amp; BASTET ENT INC.,874507-2,RA
RA Technologies Canada Inc.,1240970-4,RA
RA Constructions Canada Inc.,1350051-9,RA
CI-RA-DENT INC.,155435-2,RA
RA Research Clinic Inc.,1683257-1,RA
RA Construction &amp; Contracting Inc.,1180841-9,RA
RA Fortify Construction Ltd.,1627798-5,RA
ED@RA CONSULTANCY LTD.,884494-1,RA
RA GLOBAL CONSULTING INC.,702707-9,RA
RA Jullion Consulting Inc.,710576-2,RA
RA DOCKERY CONSULTING Inc.,903993-7,RA
Zamani Ra Consulting Inc.,1689510-7,RA
Yo Ya Ra Corp.,1276639-6,RA
RA COUNSELLING SERVICES LTD.,1702309-0,RA
DA-RA ELECTRIQUE INC.,291523-5,RA
RA Development Trudale Inc.,1257899-9,RA
RA Rosati Drywall Inc.,703543-8,RA
RA Drywall Services Inc.,1602209-0,RA
RA Real Estate Inc.,658337-7,RA
RA SLIM  FIT LTD.,1597915-3,RA
RA Fossberg Trading Ltd.,386719-6,RA
RA ZINA FREIGHT LTD.,1449755-4,RA
RA GALANT HOLDINGS INC.,1330405-1,RA
RA Global Properties Inc.,685197-5,RA
RA GLOBAL GROUP INC.,997744-9,RA
RA Global immigration Inc.,1383296-1,RA
RA Halal Meat Inc.,1695335-2,RA
RA-ISO International Inc.,262604-7,RA
RA Lion Services Inc.,604065-9,RA
Puissance Ra Power Inc.,759033-4,RA
RA SOLAR LEASING INC.,782295-2,RA
RA Leadership Solutions Inc.,845973-8,RA
RA-ONE TRANSPORT INC.,1139421-5,RA
RA Online Ventures Inc.,1446438-9,RA
RA Star Renovation Inc.,1455191-5,RA
RA Nursing Services inc.,1527009-0,RA
ZesQ&amp;RA Services Inc.,1580769-7,RA
RA Total Tidy Inc.,1757212-3,RA
V2RA CONSULTING INC.,1026153-0,RA
3RGxP &amp; RA Compliance Inc.,1186817-9,RA
Ra5Kar Photography Inc.,1363468-0,RA
RA SPE 599 Holding Inc.,1216538-4,RA
Admiral Taddle Creek RA Inc.,1054623-2,RA
Ra-ah International Development Limited.,861217-0,RA
RA Research and Development Corporation,1473059-3,RA
RA-IV BUTLER ENTERPRISES INC.,376724-8,RA
"RA GLOBAL LOGISTICS CANADA, INC.",639761-1,RA
V-RA Cannabis Technologies Incorporated,1053514-1,RA
RA Clean N Care Inc.,1240090-1,RA
RA Energy Wellness Consulting Inc.,607692-1,RA
RA Morariu Psychotherapy Professional Corporation,1490555-5,RA
Staff of Ra Developments Inc.,1526227-5,RA
IMPOT-RA-PI-DO LTEE,024919-0,RA
I ra U  Entertainment Inc.,1553954-4,RA
RA/LO Investment Group Inc.,1146547-3,RA
V-RA RECORDS MUSICAL INC.,881642-5,RA
RA2 SUPPLY AND LOGISTICS INC.,1253819-9,RA
RA Trade and Investment Company LTD.,639587-2,RA
RA Home Care Health Services Inc.,1338340-7,RA
RA GARCIA DENTAL HYGIENE PROFESSIONAL CORPORATION,884996-0,RA
LE MOUVEMENT PY-R&Acirc; INTERNATIONAL CANADA INC.,263766-9,RA
RA and AFA Consulting and Managament Services Ltd.,645005-9,RA
CANADIAN SPINAL CORD INJURY REHABILITATION ASSOCIATION (CSCI-RA),1007411-0,RA
RB Energy Inc.,774846-9,RB
RB Build &amp; Design Ltd.,1482870-4,RB
RB RAILWAY COMPONENTS INC.,426915-2,RB
RB Railway Group Inc.,445284-4,RB
RB Railway Group Inc.,793744-0,RB
RB RAILWAY LEASING INC.,444530-9,RB
RB RAILWAY RECYCLING INC.,445283-6,RB
LES SERVICES RB CAMTECH INC.,860832-6,RB
RB&amp;C MAINTENANCE OF WAY Inc.,454775-6,RB
RB&amp;C MAINTENANCE OF WAY Inc.,1429754-7,RB
RB17 inc.,1033507-0,RB
AM-RB Inc.,1044645-9,RB
BARKHOR (RB) INC.,068020-6,RB
RB Biomedical Ltd.,1095300-8,RB
RB Deco Corp.,1532374-6,RB
Rb Flashsales inc.,1715626-0,RB
RB Flooring inc.,1496926-0,RB
"RB Global, Inc.",344401-5,RB
HORIZONS RB INC.,353182-1,RB
RB-TJ INC.,1357773-2,RB
RB Pipefitting Inc.,624587-1,RB
RB UNIVERSAL INC.,839249-8,RB
RB TELCOM INC.,1003842-3,RB
RB Robotics Inc.,1231088-1,RB
RB MUAH INC.,1289159-0,RB
RB TAXATION INC.,1492723-1,RB
RADIATIONSAFETY RB INC.,1574002-9,RB
RB-VLT INC.,1717973-1,RB
RB Pharma Inc.,1729888-9,RB
RB. SONS LTD.,1358767-3,RB
RB Runners Ltd.,1430783-6,RB
RB194 CONSTRUCTION INC.,1439418-6,RB
Rb2J Corp.,1484101-8,RB
VISION RB 2050 INC.,672342-0,RB
THE RB21 INC.,1514679-8,RB
RB&amp;A Painting Corp.,1266014-8,RB
KF-RB AGENCIES LIMITED,041968-1,RB
RB Alpha Holding Corp.,1161096-1,RB
RB Auto Traders Inc.,1689194-2,RB
Ozeros Blue RB Inc.,1194511-4,RB
RB Business Consultant Inc.,1627668-7,RB
RB&amp;NS Canada Inc.,1701438-4,RB
RB Vetcare Canada Corp.,1732549-5,RB
RB Health (Canada) Inc.,1780408-3,RB
RB CAVE SPIRITUAL Inc.,1559210-1,RB
RB DEVELOPMENT &amp; CONSTRUCTION INC.,659462-0,RB
RB CONSTRUCTION &amp; ENTERPRISES INC.,1457133-9,RB
RB Consult HR Inc.,1143004-1,RB
GABLECRAFT RB GP CORP.,924085-3,RB
RB Narang Professional Corporation,1058363-4,RB
DAKOTA RB EXPRESS INC.,979420-4,RB
RUBENSTEIN RB DIGITAL LTD.,815929-7,RB
RUBENSTEIN RB DIGITAL INC.,855386-6,RB
RB Event Services Inc.,1023276-9,RB
RB Metal Fabricating Inc.,1153141-7,RB
RB Fashion Studio Inc.,1570141-4,RB
Fulcrum Security RB Inc.,942304-4,RB
GESTION RB MERCIER LT&Eacute;E,273189-4,RB
RB Group Traders Ltd.,1549197-5,RB
RB Tripp (Holdings) Ltd.,420900-1,RB
RB HOME INNOVATION INC.,1623531-0,RB
RB RAINBOW LANDSCAPING INC.,796504-4,RB
Traduction RB Translation Inc.,895404-6,RB
RB Security Services Ltd.,1056398-6,RB
RB1 FRESH SOLUTIONS INC.,941713-3,RB
RB 4CORNERS RENOVATING INC.,1199391-7,RB
4RB Esports Agency Corp.,1175819-5,RB
GESTION-R RB50 INC.,303885-8,RB
RB Algorithmic Corporate Trading Ltd.,1304692-3,RB
RB Railings &amp; Building Restoration Inc.,1422193-1,RB
RB Kreative kitchen &amp; cabinets Inc.,1539115-6,RB
RB General Contractor Canada Inc.,1475988-5,RB
RB Seniors Care Services Corp.,387669-1,RB
RB Safety &amp; Compliance Services Inc.,1669218-4,RB
RB Strategic Investment Holding Ltd.,1089127-4,RB
RB Custom Suits And Accessories Limited,1415716-8,RB
RB Strategic Security and Investigations Ltd.,1435820-1,RB
CREATIONS MICRO-LOGICIELS RB (CANADA) INC.,198269-9,RB
Premium Products For People And Pets RB Inc.,1251960-7,RB
RC COLA CANADA LIMITED,053185-5,RC
LES CONSULTANTS EN AEROSPATIALE RC INC.,397374-3,RC
RC Vitamins and supplements Inc.,1394765-3,RC
LES ENTREPRISES BG2RC INC.,142081-0,RC
RC &amp; RC Food Trading Inc.,1099013-2,RC
RC RALLIES,812663-1,RC
RC3 INC.,637414-0,RC
ActivePhysio RC Inc.,1277607-3,RC
RC Alliance Ltd.,720433-7,RC
RC builders Inc.,1536171-1,RC
RC BURGER INC.,1673996-2,RC
RC Clubzone Inc.,787061-2,RC
COH&Eacute;SION RC inc.,348756-3,RC
RC &amp; GW Corp.,1743795-1,RC
RC-DEVTA INC.,1353645-9,RC
RC Kemshall Foundation,1627267-3,RC
RC Grails Inc.,1760736-9,RC
RC groundworks Inc.,1724691-9,RC
RC HotSlice Inc.,1459988-8,RC
RC REVERENCE INC.,294374-3,RC
TransAlta (RC) Inc.,922692-3,RC
RC Logistics Inc.,1072840-3,RC
Stacked RC Inc.,1121761-5,RC
RC Strating Inc.,1327875-1,RC
RC TELECOMMUNICATIONS INC.,1411211-3,RC
Sapient RC Inc.,1426534-3,RC
"RC &amp; Partners, Inc.",1528400-7,RC
SOFRA-RC inc.,1679681-8,RC
RC Reserve Inc.,1686389-2,RC
Justus Riders RC,1449761-9,RC
The Outliers RC,1675350-7,RC
RC3 Canada Inc.,1320133-3,RC
RC3 Food Inc.,1654508-4,RC
RC5 Consulting Inc.,652439-7,RC
RC Millar Aeronautics Inc.,1703916-6,RC
AJ-RC Medical Corp.,1316359-8,RC
AMAZING RC STORE LTD.,1309452-9,RC
RC AMEN HOLDINGS INC.,1179382-9,RC
RC Brennan Holdings Ltd.,985973-0,RC
RC CAD Services Inc.,833643-1,RC
Sault RC Car Club,1064195-2,RC
RC Reno Centre Inc.,1250555-0,RC
RC Coast Management Inc.,645098-9,RC
RC Construction Solar Inc.,792622-7,RC
V &amp; RC Consulting Inc.,1431882-0,RC
RC Procurement Consulting Incorporated,1634890-4,RC
RC COOKIE-WORTHY INC.,1273189-4,RC
K&#39;s Performance RC Corp.,1708373-4,RC
RC DELTA HOLDINGS CORPORATION,835507-0,RC
Iogen RC Fuels Corporation,1204584-2,RC
RC DEMOLITION &amp; FRAMING INC.,1373481-1,RC
RC EMPORIUM TECHNOLOGIES INC.,1749964-7,RC
RC Media &amp; Entertainment Inc.,1158617-3,RC
RC Maintenance Essentials Inc.,1717072-6,RC
