name,num,prefix
INVESTISSEMENTS SA.SA INC.,652158-4,SA
SA SA BEAUTY SALON INC.,252465-1,SA
SA FINVESTCAN LTD.,641433-8,SA
3SA International Corp.,1375829-0,SA
SA-BA CARPENTRY INC.,101360-2,SA
TANDEM SA BRAKES  INC.,453143-4,SA
SA-LI VARIETY INC.,101427-7,SA
Ka-sa Management Inc.,930339-1,SA
SA-AMA CONSULTANTS CANADA LIMITED -,094550-1,SA
SA and Sons MARKET Inc.,1332987-9,SA
LES PRODUITS ALIMENTAIRES SA-GER INC.,145531-1,SA
SA-BELLI TEXTILE ENTERPRISES INC.,191966-1,SA
SCIENTIFIC AIRCRAFT ACCIDENT ANALYSIS (SA&sup3;) INC.,355031-1,SA
R &amp; SA Project and Information Management Consultants Inc.,668499-8,SA
SA Inc.,1275864-4,SA
Her Voice Canada,1513737-3,SA
Sa7 inc.,1528325-6,SA
Alley SA Inc.,1565069-1,SA
SA&amp;C Inc.,1098484-1,SA
SA Cartage Ltd.,1449025-8,SA
SA Classes Inc.,1479781-7,SA
SA CLEARANCE Incorporated,1228095-7,SA
SA Collective Inc.,1079486-4,SA
SA PLAZA CORPORATION,080132-1,SA
SA&#39;GAK CORPORATION,234522-6,SA
Naut&#39;sa Corporation,764838-3,SA
EVERHEALTH SA Corporation,902927-3,SA
EDGE SA INC.,845353-5,SA
SA Fantasy Inc.,1282661-5,SA
SA FREIGHTLINES INC.,1618802-8,SA
SA Fruit Inc.,868350-6,SA
Future SA Inc.,1273904-6,SA
Hewitt SA Limited,1076828-6,SA
T&rsquo;sa Housing,1723396-5,SA
SA IMPEX INC.,700913-5,SA
SA Terrassement Inc.,823791-3,SA
PLD SA INC.,757889-0,SA
PLAYWAY SA inc.,877728-4,SA
Studio SA Inc.,1254653-1,SA
SA Stores Inc.,1257231-1,SA
SA Square Inc.,1266782-7,SA
SA Orbit Inc.,1507732-0,SA
Sa Silhouette Inc.,1512987-7,SA
SA Leathers Inc.,1667334-1,SA
SA Publishers Inc.,1749913-2,SA
SA Science Outreach,1039414-9,SA
EB.SA.1967 LTD.,1488518-0,SA
SA2JS Inc.,390165-3,SA
OK2SA Inc.,1184096-7,SA
2SA Technologies Inc.,1384933-3,SA
SA2007 HELICOPTERS INC.,686328-1,SA
SA3 DEVELOPPEMENT INC.,260440-0,SA
SA3 Contractors Inc.,1688827-5,SA
P4SA INC.,756105-9,SA
PRODUCTIONS SA 5 INC.,776115-5,SA
Sa7 Solutions Inc.,1621162-3,SA
SA7 CANADA CORP.,1643036-8,SA
SA 81 Consulting Inc.,1709664-0,SA
SA Specialty Abrasives Ltd.,152214-1,SA
SA-AD INTERNATIONAL INC,1640991-1,SA
SA Kids Rising Association,1633271-4,SA
SJ @ SA AUTO INC.,1167756-0,SA
AZ.SA CAPITAL INC.,1568870-1,SA
SA JV BC Inc.,1620241-1,SA
SA VA BIEN INC.,791487-3,SA
Sa Boothroyd Etc. Inc.,1292230-4,SA
SA Design &amp; built Inc.,1383743-2,SA
SA Business Services Ltd.,1510559-5,SA
SA DEVELOPMENTS CORPORATION CA,1324239-1,SA
Cần sa Group Incorporated,1297545-9,SA
HESNA-CANADA SA INC.,827484-3,SA
SA Consultants Canada Inc.,1158225-9,SA
"sa.global Canada, Inc.",1252012-5,SA
Sa&amp;Mo Canada Inc.,1537885-1,SA
SA CARPENTER &amp; WAINSCOTING INC.,1427418-1,SA
SA Centre of Music,981766-2,SA
Sa&#39; Zeu Chi Inc.,1246258-3,SA
SA CHO DEVELOPMENTS LTD.,339399-2,SA
SA CIGARS &amp; CIGARETTES INC.,1401753-6,SA
Minera Clifton SA Ltd.,1008896-0,SA
Sa Electronic Commerce Incorporated,628957-6,SA
SA Creative Communications Inc.,1538082-1,SA
SA KHAN CONSULTING INC.,842957-0,SA
MQ &amp; SA CONSULTING INC.,848319-1,SA
SA Targeted Investing Corp.,879050-7,SA
SA &amp; KA LOGISTICS CORP.,1473682-6,SA
SA Panther  TRADING Corp.,1696188-6,SA
SA Zarraat &amp; Fisheries Corp.,1726273-6,SA
EL&amp;SA Investment Inc.,1630789-2,SA
SA NAYYAB EXPRESS INC.,721954-7,SA
SA &amp; Sons Fabrics Inc.,1362369-6,SA
LADY FATIMAH (SA) ORGANIZATION,448074-1,SA
FDM Software SA Inc.,773584-7,SA
FlightPath International SA Ltd.,943373-2,SA
GESTION SA-FOL INC.,232329-0,SA
Toronto SA Gems Inc.,1731164-8,SA
Gibran SA InfoTech Inc.,880410-9,SA
SA Global Motors Inc.,1732552-5,SA
SA Healthcare Investment Inc.,998561-1,SA
SA Kang Holdings Inc.,722389-7,SA
HZ &amp; SA trading Inc.,1013433-3,SA
SA Payroll Services Inc.,663703-5,SA
SA-PEINT MOBILE INC.,782786-5,SA
SA Technical Services Inc.,856110-9,SA
SA Staffing Solutions Inc.,856611-9,SA
SA SECURITY SOLUTIONS INC.,1129625-6,SA
SA Ranu Transport Inc.,1231115-1,SA
SA ROBOTICS &amp; TECHNOLOGY INC.,1624554-4,SA
SA JV QC INC.,1654867-9,SA
JOHAL SA TRANSPORT INC.,1765600-9,SA
Integra Solutions SA Incorporated,663255-6,SA
SDIC-SA International Incorporated,1283062-1,SA
SA &amp; TJ INVESTORS LTD.,816565-3,SA
Mu Ryang Sa Ltd.,414278-1,SA
SA Tech Solutions Ltd.,1727581-1,SA
SA-2 Development Center inc.,629547-9,SA
SA2YOU.COM Limited,814190-8,SA
E3SA CONSULTANTS INC.,863187-5,SA
V3SA Family Corporation,1353612-2,SA
V3SA Services Inc.,1415937-3,SA
SA AUTOMOTIVE PARTS RETAILER INC.,969433-1,SA
QUATRO SA WORLD BUSINESS INC.,425039-7,SA
SA-CA-POL PHARMACY CORPORATION,265262-5,SA
SA PETRO-LEX CANADA INC.,759660-0,SA
Sa-Fire Car Consulting Inc.,614321-1,SA
Kusina sa Casa Nova Inc.,1443649-1,SA
SA clean corp.cleaning inc.,1327374-1,SA
Les Constructions Sa COCHE Inc.,1185493-3,SA
VI-SA-VI COMMUNICATIONS INC.,232484-9,SA
SA Reliable Technical Consulting Inc.,1368740-6,SA
Sa Dena Hes Operating Corporation,293185-1,SA
SA Digital Media Group Inc.,1595063-5,SA
SA Energy Group Fleet Ltd.,1243887-9,SA
LES ENTREPRISES KA-SA INC.,062649-0,SA
LES ENTREPRISES SA-LUM LTEE,187081-5,SA
SA Pro Flooring &amp; Interlocking Inc.,1368526-8,SA
La Fondation Gu&eacute;rir sa vie,432487-1,SA
RADIO SA RE GAA... INC.,678270-1,SA
Ham-sa Wellness Management Inc.,705606-1,SA
SA PROFESSIONAL MEDICAL SERVICES INC.,843183-3,SA
Sa&amp;Si kumar renovation Incorporated,1250917-2,SA
PLASTI-SAC SA-MI LTD.,085396-8,SA
Food with a Conscience Inc.,447333-7,SA
MAN AND HIS HOME LTD.,052922-2,SA
LOOK GOOD FEEL BETTER,283807-9,SA
S.I.I. 3 SA Inc.,845969-0,SA
CH&Eacute;RI(E) A SA M&Eacute;DAILLE INC.,705379-7,SA
L&#39;aliment et sa conscience Inc.,1756082-6,SA
SA Demolition And Environmental Services Ltd.,1169099-0,SA
Fonds Anna-Maude et sa fus&eacute;e,1065344-6,SA
LES PLACEMENTS SA-CO CANADA LTEE,084623-6,SA
L &amp; SA CANADIAN TRADING COMPANY LTD.,109544-7,SA
Sa&bull;wat&bull;ski Concept Reality Ltd.,1017950-7,SA
Kainan Sa Leamington (Leamington Eatery) Corporation,1422001-3,SA
A HOUSE FOR EVERYONE SUPPLIERS INC.,310185-1,SA
Canadian Council on Internet Governance -,441408-0,SA
C3SA CYBERNETIC SECURITY AUDIT INC.,636180-3,SA
SA. TECHNICO AIR &amp; REFRIGERATION SYSTEMS CANADA INC.,853774-7,SA
L&#39;aliment et sa conscience cuisine inc.,1215674-1,SA
SA - Best Pest Control Quality Services Ltd.,1332830-9,SA
PRO-SA CANADA SERVICES D&#39;EXPOSITION INC.,355689-1,SA
Canadians Against Violence Everywhere Advocating its Termination,282638-1,SA
Les cuisines d&#39;Aliment et sa conscience Inc.,962386-8,SA
THE KOREAN BUDDHIST CHONTAE ORDER PYUNG HWA SA,431462-0,SA
Baca Sa(e)gunda All-Embracing (YIC &ndash; Why I Care),1353700-5,SA
MASJID AL-FATIMA TUZ ZAHRA(SA) AND SHAH SUFI CONGREGATION CENTRE,935522-7,SA
"GRAND PRIEURE DU CANADA DE L&#39;ORDRE DE SAINT-JEAN DE JERUSALEM, sous la Protection et la Reconnaissance canonique de l&#39;Eglise Orthodoxe d&#39;Am&eacute;rique, affili&eacute; &agrave; la Constitution Royale de Sa Majest&eacute; le",105761-8,SA
SB Exp&eacute;diteur inc.,1577841-7,SB
SB VINIFICATION INC.,1152532-8,SB
SB2 DEVELOPMENT INC.,1508379-6,SB
SB8 Management Inc.,653020-6,SB
SB IMMOBILIER WEAVER INC.,1094868-3,SB
Kruger Products SB Inc.,1270233-9,SB
SB PRO RECRUITMENT INC.,1664687-5,SB
KID IMPRINTS SB INC.,642170-9,SB
LES PLACEMENTS JCG &amp; SB INC.,109977-9,SB
SB-MMS2 Holdings Inc.,1731284-9,SB
JUNIOR SB ELECTRONIC COMMERCE INC.,1505856-2,SB
SB17 No. 13 Holdings Ltd.,338039-4,SB
SB17 No. 39 Holdings Ltd.,429607-9,SB
SB17 No. 43 Holdings Ltd.,437421-5,SB
SB2SB CORPORATION,687541-6,SB
SB Aero Inc.,953402-4,SB
SB Aluminum Corp.,1711021-9,SB
SB Analytics Ltd.,1010989-4,SB
SB ARCHITECTURE INC.,1455102-8,SB
SB B&Eacute;N&Eacute;FICIAIRE INC.,815383-3,SB
SB Brands Ltd.,1281246-1,SB
SB Care Inc.,1215700-4,SB
SB &amp; Company Ltd.,966741-5,SB
SB DIVINA INC.,835324-7,SB
SB DUAL INC.,407785-7,SB
SB Entertainment Inc.,1279843-3,SB
Grogenics SB Inc.,1130983-8,SB
SB International Inc.,938105-8,SB
OASIS SB INC.,1128087-2,SB
SB Realty Inc.,1330307-1,SB
SB Print Inc.,1396197-4,SB
SB Renewables Inc.,1437045-7,SB
SB Sandhu inc.,1578714-9,SB
Tropical SB Inc.,1686382-5,SB
SB TekEx Inc.,1713549-1,SB
SB Sports Incorporated,931565-9,SB
SB WORLDWIDE INCORPORATED,1375727-7,SB
Lush SB limited,1311689-1,SB
SB SPORTBOOK LTD.,091557-2,SB
SB Stores Ltd.,1633168-8,SB
"Careers and Professions International, Professionals and Executives Search Consultants SB Inc.",349352-1,SB
SB13 INVESTMENTS INCORPORATED,1106207-7,SB
SB17 Management Ltd.,446007-3,SB
SB17 Holdings Inc.,908860-1,SB
SB17 Investments Inc.,908865-2,SB
SB3 Technologies Inc.,1092226-9,SB
