name,num,prefix
TA TEAM INC.,426367-7,TA
TA VIGOLD IMPORTS INC.-,220017-1,TA
JUNG TA INVESTMENTS INC.,283408-1,TA
LES FILS COUPL&Eacute;S TA INC.,1704441-1,TA
TA CHIAO YACHTS CANADA INC.,165395-4,TA
V1TA-AUTENTICA PRODUCTS INC.,1457310-2,TA
VA TA&#39;I CEMENT (CANADA) INC.,420781-5,TA
Music Learner Ta-a World Inc.,624961-2,TA
R.A.W. TA2 SHOP INC.,1538221-1,TA
TA TA TA Enterprise Corp.,1766260-2,TA
TA MA CORPORATION,426820-2,TA
TA Detailing Inc.,1357139-4,TA
TA Energy Inc.,922152-2,TA
TA Harmony Inc.,1479433-8,TA
TA WaterCharger Inc.,1501543-0,TA
TA Logistics Inc.,1564739-8,TA
TA RETAIL INC.,1751795-5,TA
TA SENAPON Inc.,1365573-3,TA
Protect your forest Inc.,1125598-3,TA
Mag Your Life Inc.,1668918-3,TA
TA-NGO6 LTD.,992746-8,TA
Ta Chingon Atlantic Corporation,1569477-9,TA
B&amp;TA CONSULTING INC.,820288-5,TA
TA Beach Development Inc.,932837-8,TA
TA Kent Breeze Inc.,933806-3,TA
TA Building Services Inc.,1267885-3,TA
TA Textiles Canada Inc.,971313-1,TA
Cen-Ta Technology Inc.,1019207-4,TA
CHAI-NA-TA CORP.,118781-3,TA
Ta seconde chance Inc.,1408016-5,TA
"Ta Chen International, Inc.",660798-5,TA
CO-TA TRANSPORTATION CORPORATION,114579-7,TA
M-TA Consulting Inc.,1239314-0,TA
RG &amp; TA Consulting Ltd.,1472857-2,TA
GPT TA CONSULTING INC.,1707160-4,TA
TA-IA RENO CORPORATION,1273342-1,TA
TA Legal Services Corporation,1590641-5,TA
TA Poplar Creek Inc.,933800-4,TA
D-TA SYSTEMS INC.,672223-7,TA
D-TA ENTERPRISES INC.,631582-8,TA
TA DA! DRAMA INC.,824307-7,TA
TA-PRE DISTRIBUTEURS LTEE,016979-0,TA
TA FAIR HOLDING INC.,189002-6,TA
First TA Solutions Ltd.,1211599-9,TA
Ta Tonka Food Inc.,1548607-6,TA
Ta-Ha Realties Inc.,927200-3,TA
TA Wintering Hills Inc.,933796-2,TA
