name,num,prefix
UA Canada Community Foundation,1680964-2,UA
UA COMMUNITY SPORTS,1681447-6,UA
TO-UA corporation,1206369-7,UA
UA Digital Inc.,1001217-3,UA
SOS FUND UA,1438893-3,UA
UA IMMOBILIER INC.,1499489-2,UA
UA Remodeling INC.,638282-7,UA
VA &amp; UA INC.,1430599-0,UA
UA Infotech Inc.,1630639-0,UA
Arabica UA-Partnership Corporation,1770785-1,UA
Art Ua Cafe Corp.,1759139-0,UA
We Love UA Canada,1015821-6,UA
UA Consulting Solutions Inc.,997844-5,UA
UA Goraya Retail corp.,1715828-9,UA
FBC UA MASONRY INC.,1476880-9,UA
PDF/UA FOUNDATION INC.,1222724-0,UA
UA Insurance Holdings Inc.,729098-5,UA
UA Support Network Ltd.,1384091-3,UA
Mott 32 UA Holdings Corporation,1502111-1,UA
UA Group Accountants &amp; Advisors Inc.,810614-2,UA
Intramax-UA International Trading Corporation,1508055-0,UA
Goraya UA Eco-green Inc.,1407828-4,UA
Promotions UA Multicultural Live Event Organization,1190683-6,UA
MGM/UA HOME ENTERTAINMENT GROUP (CANADA) LTD.,149395-7,UA
Centre du Sport et de la Jeunesse R6-UA Canada-Zuta,1255977-3,UA
UB CLEAN INC.,630612-8,UB
UB SPORTS,1556212-1,UB
UB0816 Corp.,1298637-0,UB
UB Financial Inc.,1514065-0,UB
GESTION UB INC.,1250187-2,UB
UB VIDEO INC.,381221-9,UB
UB Realty Inc.,1047792-3,UB
UB Art Studio limited,1313350-8,UB
UB Store Canada Ltd.,1217785-4,UB
SHILOH COMMUNITY CHURCH UB,1055085-0,UB
UB GOOD FOOD SHARE,1207486-9,UB
I-UB Global Inc.,1493813-5,UB
UB WRAPS &amp; GRAPHICS INC.,1241402-3,UB
UB Investment Group Inc.,1559577-1,UB
UB&amp;S HOLDINGS LIMITED,285858-4,UB
UB David &amp; I&#39;11 B Jonathan Inc.,254339-7,UB
UC&amp;A Inc.,1592840-1,UC
UC Collaborations Inc.,888141-3,UC
UC Galaxy Inc.,780099-1,UC
UC Homes inc.,1664843-6,UC
IC/UC Inc.,985622-6,UC
UC Immigration Inc.,1372565-1,UC
uc netmedia inc.,665348-1,UC
UC Solutions Inc.,711067-7,UC
UC Productions Inc.,734872-0,UC
SMART UC INC.,971167-8,UC
UC Partners Inc.,1207247-5,UC
UC OPPORTUNITY Inc.,1659921-4,UC
UC Telecom INCORPORATED,767342-6,UC
UC244 Capital Corporation,1546162-6,UC
UC-pay Canada Ltd.,1415251-4,UC
UC East Capital Inc.,1058133-0,UC
UC Sports Club Inc.,1738798-9,UC
VIP UC Education Inc.,1324943-3,UC
UC Maddy Realty Inc.,1591412-4,UC
UC&#39;NWIN SYSTEMS LTD.,146728-0,UC
UC TERRA PIPELINE EQUIPMENT CORPORATION,385708-5,UC
UC-Maddy Soft Tech Inc.,1297097-0,UC
AT BRYDE UD LTD.,638953-8,UD
AL-UD Inc.,1044339-5,UD
COMMERCE-UD INC.,014429-1,UD
UD &amp; Durus Incorporated,1287570-5,UD
MI5ud Incorporated,390848-8,UD
CL9UD ENTERTAINMENT LTD.,936934-1,UD
Ansar-Ud-Deen Society Canada,1764100-1,UD
UE Translations Inc.,1244877-7,UE
Powered by UE Ltd.,1681729-7,UE
UE DESIGN GROUP INC.,620238-1,UE
SERVICES ET INT&Eacute;GRATION DE TECHNOLOGIE &Eacute;LECTRONIQ UE DU QU&Eacute;BEC SITEQ INC.,290933-2,UE
IMED-IT UF Technologies Inc.,1074170-1,UF
UF Consulting Inc.,1049630-8,UF
UF Global Voyages Inc.,1726776-2,UF
GENERAL UF FOAM CORPORATION INC.,085981-8,UF
UF UNITED FLUID WATER TECHNOLOGIES (CANADA) INC.,846833-8,UF
UG&amp;S Technicals inc.,1543809-8,UG
UG BRANDS INC.,1248395-5,UG
UG SERIES INC.,814272-6,UG
UG LOGO INC.,1077986-5,UG
UG STUDIO INC.,1170719-1,UG
UG Locates Inc.,1531246-9,UG
KKRR UG Inc.,1630015-4,UG
Ru-Ug ltd.,1474153-6,UG
UG Productions 1 Inc.,885657-5,UG
UG SERIES 2019 INC.,1144870-6,UG
UG PRO CONSTRUCTION LTD.,1591362-4,UG
UG International Sports Corp.,1015037-1,UG
UG TRUCK N&#39; TRUST INC.,1694300-4,UG
UH Beauty Inc.,1500349-1,UH
UH Spa Inc.,1672730-1,UH
UH Cybersecurity advisory services Inc.,1635416-5,UH
UH Home &amp; Kitchen World Limited,1734140-7,UH
Cognitive UI &amp; AI Inc.,1002050-8,UI
UI Collective Inc.,1760738-5,UI
UI CONTACT INC.,786273-3,UI
UI-M&Eacute;DIA INC.,712655-7,UI
UI-SIGNATURE INC.,718137-0,UI
Simple UI Ltd.,1194002-3,UI
UI2UX Incorporated,1129172-6,UI
911 UI Designs Inc.,696820-1,UI
UI TECH CONSULTING INC.,601123-3,UI
UI Web Designers Inc.,1412553-3,UI
UI-Unique Intelligence Inc.,1256225-1,UI
AGRO UX/UI DESIGN INC.,1620013-3,UI
UI Bridge Circuit Design Inc.,1696544-0,UI
Dominika Kowalczyk UX/UI Design Inc.,997477-6,UI
UJ COMMERCE Ltd.,1491701-4,UJ
UJ CONTRACTING INC.,1687701-0,UJ
UJ Global Inc.,1187374-1,UJ
UJ RAYS INC.,1509481-0,UJ
UJ CREATIVE WORKS INC.,1118022-3,UJ
CEP NEWS UK INC.,444223-7,UK
ST-REGIS UK HOLDINGS INC.,336642-1,UK
UK 07 Inc.,1445184-8,UK
AIRTRANS UK INC.,425744-8,UK
CANADA - UK COLLOQUIUM,1298563-2,UK
UK Enterprise Inc.,1267222-7,UK
UK FOAM LTD.,1718825-1,UK
UK Group Inc.,888372-6,UK
SAJO UK INC.,606369-1,UK
PLD UK INC.,622282-0,UK
RodeoFX UK Inc.,1179205-9,UK
VICK.UK INC.,1410586-9,UK
KMUH UK02 LTD.,1490962-3,UK
UK0205-11 Limited,775760-3,UK
UK06 FREIGHTS INC.,1540838-5,UK
UK18 Transport Inc.,1217435-9,UK
UK18 brothers Inc.,1710970-9,UK
UK TAX &amp; ACCOUNTING INC.,1196256-6,UK
Belsize UK Apparel Ltd.,1461914-5,UK
UK BOOTS &amp; SHOES INC.,1010461-2,UK
UK BOOTS &amp; SHOES INC.,1292560-5,UK
BPC UK RAIL CORPORATION,768777-0,UK
UK PRODUCTS CANADA INC.,375343-3,UK
HEINEKEN UK CANADA INC.,409200-7,UK
