name,num,prefix
VA Lab Inc.,1403944-1,VA
VA-POWER LTD.,173641-8,VA
CLE-VA-NET LIMITED,023862-7,VA
VA-DE FASHIONS INC.,383370-4,VA
VA-YOLA GARMENTS LTD.,075946-5,VA
Va-Al-Ko Technologies Ltd.,757579-3,VA
GROUPE TOUT VA BIEN INC.,1587718-1,VA
VA PUBLISHING &amp; MARKETING CORPORATION,1761508-6,VA
TOUT VA BIEN EXPERT-CONSEIL INC.,620831-2,VA
VA TA&#39;I CEMENT (CANADA) INC.,420781-5,VA
VA TECH Ferranti-Packard Transformers Limited,268991-0,VA
VA14 Inc.,1300621-2,VA
VA CAN Inc.,1116176-8,VA
VA Computing Inc.,1200610-3,VA
VA Immigration Inc.,1532051-8,VA
VA-POWER INC.,063068-3,VA
INTELLIANCE VA INC.,354350-1,VA
VA MEDICAL INC.,961957-7,VA
VA &amp; UA INC.,1430599-0,VA
Seamless VA Inc.,1583835-5,VA
Valid VA Inc.,1636055-6,VA
VA2 Solutions Inc.,1423743-9,VA
VA BADMINTON ACADEMY Corp.,1668625-7,VA
An Va Solutions Inc.,640369-7,VA
Hero Assist VA Inc.,1643840-7,VA
Dee&#39;va be Inc.,1220497-5,VA
SA VA BIEN INC.,791487-3,VA
VA Technologies Canada Inc.,1521637-1,VA
VA-SY CHAUSSURES INC.,780212-9,VA
CLUB VA INTERNATIONAL INC.,302061-4,VA
WI VA CONSTRUCTION CORPORATION,1264351-1,VA
VA DATASECURITY CONSULTANT INC.,1319833-2,VA
D.VA Marketing Incorporated,892415-5,VA
Executive VA Group Inc.,1709888-0,VA
VA GLOBAL SOLUTIONS INC.,1674809-1,VA
PARA VA INVESTMENTS INC.,196179-9,VA
VA SPATIAL TECHNOLOGIES INC.,695347-6,VA
NorthPoint Managed VA Inc.,1761362-8,VA
VA PROTECTION TECH (1993) INC.,252400-7,VA
VA3MG Productions Limited,333683-2,VA
Daira and VA Trucking Inc.,707079-9,VA
VA Pardons and Waivers Inc.,1674465-6,VA
