name,num,prefix
WA Transpo,1144892-7,WA
WA-WA CANADIAN SPRING WATER INC.,304547-1,WA
Asa_wa Inc.,1747832-1,WA
WA - TO CANADA,1232565-9,WA
WA CHATBOT INC.,1508518-7,WA
WA Solutions Inc.,366789-8,WA
Investissement WA Inc.,1225530-8,WA
WA-Ō inc.,1577496-9,WA
Os&eacute;ko:wa Inc.,1667120-9,WA
WA TECHNOLOGIES Ltd.,1416034-7,WA
Uzima Wa Afya Inc.,1529717-6,WA
Arrowsmith Program WA Inc.,823643-7,WA
WA-Y Canada Inc.,1204357-2,WA
WA Pave Construction Ltd.,1520380-5,WA
WA Diamond Construction Inc.,1529845-8,WA
WA IT-Solutions Ltd.,1337758-0,WA
wA11y Enterprise Inc.,1690291-0,WA
WA-2 WATER COMPANY LTD.,417570-1,WA
3WA FORMATION WEB INC.,903846-9,WA
AI-WA CONSTRUCTIONS CO Inc.,861099-1,WA
Wa&#39;as Hydro GP Inc.,683944-4,WA
BADAR DA&#39;WA CENTER OF CANADA,350116-7,WA
JA WA BEST EFFORT &amp; SUPPORT INC.,600507-1,WA
WA-BOWDEN REAL ESTATE REPORTS LTD.,131726-1,WA
WA-SH-OW NON-PROFIT CORPORATION,366365-5,WA
WA - LING I/E PRODUCTS INC.,301591-2,WA
HE-WA-RI FILM PRODUCTION LTD.,045277-7,WA
CHILD OF THE EARTH - WATOTO WA ARDHI,752025-5,WA
Wakati Wa Kafrika (WWK) Center - Saskatoon and North America,1406705-3,WA
Wa Ni Ska Tan Alliance of Hydro Impacted Communities Inc.,1192771-0,WA
3WB CORPORATION,323827-0,WB
WB Fintech Corp.,1650706-9,WB
WB FRANCHISING LIMITED,805075-9,WB
WB FRANCHISING LIMITED,1608437-1,WB
WB GREENWORLD INC.,878878-2,WB
WB Holdco Inc.,1676814-8,WB
WB Websites Inc.,1275537-8,WB
WB Specials Inc.,1633811-9,WB
WB &amp; TMS Ltd.,655417-2,WB
WB HOLDINGS 2 LTD.,424507-5,WB
WB3 Partners Inc.,1155398-4,WB
WB ASSET HOLDING INC.,1087756-5,WB
WB Solutions Canada Inc.,1245852-7,WB
WB.com Developments Inc.,363047-1,WB
WB/RH Company Limited,704330-9,WB
WB Cyber Solutions Inc.,1780545-4,WB
WB METAL FABRICATION INC.,1289230-8,WB
The WB Family Foundation,373393-9,WB
WB MEDIA GROUP LTD.,235551-5,WB
WB HEARTLAND RESTAURANT INC.,733574-1,WB
WB PLACE PAPINEAU INC.,691087-4,WB
WB MANAGEMENT &amp; LOGISTICS Inc.,1282276-8,WB
WB Property Ventures Inc.,1412955-5,WB
WB Medical Services Limited,1214065-9,WB
WB Electrical and Automation Inc.,1550754-5,WB
WB SAT.TO.MEDIA Corp.,870529-1,WB
QR WB Holdings GP Inc.,1461456-9,WB
WC 2 Canada,448688-9,WC
WC Golf Corp.,1769407-5,WC
WC Esports Ltd.,1644059-2,WC
WC LEASING LTD.,308436-1,WC
"WC CANADA HOLDINGS, INC.",305298-2,WC
GLOBAL CARGO (WC) INC.,382212-5,WC
WC Sears Holdings Inc.,385733-6,WC
WC LIFE SERVICES INC.,298197-1,WC
WC The Store Inc.,896399-1,WC
WC vending services  Inc.,1214911-7,WC
WESTBORO WC VENTURES INC.,1691848-4,WC
WC Oceanside Inn Ltd.,1485689-9,WC
WC2 Productions Ontario Inc.,909210-2,WC
Summit Marketing Canada (WC) Ltd.,620131-8,WC
Olympic Motors (WC) II Corporation,454743-8,WC
Olympic Motors (WC) III Corporation,454744-6,WC
Olympic Motors (WC) IV Corporation,454745-4,WC
Olympic Motors (WC) I Corporation,454751-9,WC
Olympic Motors (WC) V Corporation,1099358-1,WC
Olympic Motors (WC) VII Corporation,1399194-6,WC
OLYMPIC MOTORS (WC) VIII CORPORATION,1431562-6,WC
Olympic Motors (WC) IX Corporation,1533752-6,WC
OLYMPIC MOTORS (WC) X CORPORATION,1592095-7,WC
Olympic Motors (WC) XI Corporation,1678724-0,WC
OLYMPIC MOTORS (WC) I CORPORATION,1706677-5,WC
Valmont WC Engineering Group Ltd.,665052-0,WC
Perfect Sleep Solutions WC Inc.,1193631-0,WC
Olympic Real Estate Development (WC) I Corporation,454749-7,WC
WD Canada Inc.,064596-6,WD
WD Canada Inc.,1192828-7,WD
WD Coaching Incorporated,1052557-0,WD
WD CONSTRUCTION INC.,1367677-3,WD
WD ESTATES INC.,1539905-0,WD
FALCON WD Inc.,1105893-2,WD
WD International Inc.,1030194-9,WD
TransVrac WD Inc.,1212040-2,WD
WD Techno Inc.,1389743-5,WD
WD LUMEN INC.,1571689-6,WD
wd trans Ltd.,1343480-0,WD
WD2C INC.,446597-1,WD
WD ACCOUNTING SERVICES CORPORATION,1455388-8,WD
WD Architectural Design Corp.,798438-3,WD
Bethesda WD Holdings Inc.,1751750-5,WD
Canadian Home WD Inc.,1355176-8,WD
WD Digital Consulting Inc.,1439223-0,WD
WD&amp;RI CONTRACTING LTD.,766645-4,WD
WD LANDSCAPE PLUS CORP.,1412854-1,WD
WD ENERGY EFFICIENCY INC.,408599-0,WD
WD Innovative Products Inc.,1045850-3,WD
WD Swim Richmond Inc.,1059934-4,WD
WD Swim Markham Inc.,1175613-3,WD
G. I. 4WD INC.,718337-2,WD
Tamiya Mini 4WD Saskatoon,934525-6,WD
WD SPORTS AND ENTERTAINMENT INC.,957477-8,WD
WD Worms n Garden Inc.,1722186-0,WD
Bethesda WD Real Estate 1 Inc.,1753620-8,WD
JC2WD Telecom Consulting Inc.,637667-3,WD
Fast4wd Last Mile Corporation,1457192-4,WD
WD Home Solutions Real Estate Inc.,1480453-8,WD
WD O&amp;H 2020 HOT POT LTD.,1190546-5,WD
CENTRE INTERNATIONAL DE COMMERCE - INTRACE-WD INC.,179564-3,WD
WE3C FOUNDATION,1763206-1,WE
We Improve Consulting Inc.,1651781-1,WE
Onkwehon:we Midwives Collective,1131977-9,WE
WE West East Consulting Inc.,606674-7,WE
WE-R-VR DISTRIBUTION INC.,325938-2,WE
PRODUCTIONS WE THE LIVING INC.,354586-5,WE
"We3, Meet People Inc.",962901-7,WE
Zen We Travel Technologies Inc.,1407699-1,WE
WE-WIN TRADING COMPANY LTD.,196439-9,WE
We Don&#39;t &quot;Think&quot; Productions Incorporated,964373-7,WE
WE TOO ARE HUMAN BEIYNS DOT ROYALS (HBR),904413-2,WE
Nous sommes capables,1774196-1,WE
We Stand We Speak We Rise Ltd.,1508841-1,WE
We Animals,1088408-1,WE
We Bridge,1096270-8,WE
WE Charity,335640-0,WE
We Fem,1071032-6,WE
Hum-WE,1008416-6,WE
We Matter,979098-5,WE
WE PREVAIL,1244500-0,WE
We Strive,1035171-7,WE
We Vow,1017286-3,WE
NOUS R&Ocirc;TISSONS DES NOIX INC.,1406534-4,WE
We Canadian Nepali Neighborhood (WE- CANN),1662822-2,WE
We Are Enough We Are Loved Inc.,1230948-3,WE
We Become Better Together Foundation WE-BET,1052317-8,WE
NOUS SOMMES LE V&Ecirc;TEMENT INC.,1191202-0,WE
WE 69 INC.,1510235-9,WE
We Action Association,1125965-2,WE
WE HELP AFRICA,1243974-3,WE
We Air Ltd.,1264424-0,WE
We All Matter,1157094-3,WE
WE-ALLY CENTRE,933330-4,WE
We Care Angels,989227-3,WE
WE.ArcticImpact Inc.,1356741-9,WE
We Are Effervescent,944572-2,WE
We Are STIGMA,947574-5,WE
We Are Unicorn,1067448-6,WE
