name,num,prefix
XA Intelligence Inc.,1722643-8,XA
XA Trade Limited,1203594-4,XA
XB SYSTEMS INC.,307090-5,XB
XB Food Products Inc.,356564-5,XB
XB PLASTIC PACKAGING INC.,604494-8,XB
XB-Finance Corporation,1252359-1,XB
XB Productions inc.,1384106-5,XB
XB2.NET INC.,664113-0,XB
XBOCT (XB) Electric Inc.,1536536-8,XB
XB Engineering Systems Incorporated,627781-1,XB
EFFET XC INC.,412226-7,XC
XC CONSULTING GROUP INC.,442599-5,XC
xc cafe corporation,642320-5,XC
XC Chelsea Masters,842838-7,XC
Fashion XC Inc.,1666952-2,XC
GESTION XC INC.,965613-8,XC
XC Management Incorporated,1169087-6,XC
xC3 Associates Inc.,1031088-3,XC
SALT XC (AT) HOLDINGS INC.,1660733-1,XC
Northern Light Capital XC Corp.,1751438-7,XC
SALT XC (MM) HOLDINGS INC.,1660720-9,XC
SALT XC (JL) HOLDINGS INC.,1660721-7,XC
SALT XC (LB) HOLDINGS INC.,1660729-2,XC
SALT XC (JR) HOLDINGS INC.,1660735-7,XC
XD Electronic Marketing Inc.,681963-0,XD
xD Analytics Ltd.,1036939-0,XD
XD Autohaus Inc.,1696124-0,XD
xD Canada Ltd.,1040561-2,XD
Digital.XD Inc.,1290435-7,XD
XD Financial Inc.,1699368-1,XD
XD Productions Inc.,906465-6,XD
XD Intelligence Inc.,1427896-8,XD
xD Connexions Canada Ltd.,1040247-8,XD
XD Xperience Design Limited,805175-5,XD
XD Consulting and Trading Inc.,1161427-4,XD
XD LAB R&amp;D Inc.,310733-7,XD
Xe-Nor Inc.,418962-1,XE
XE Solutions Inc.,861223-4,XE
XE MOBILE LTD.,666195-5,XE
Gestion XE Solutions Inc.,969767-5,XE
Da0xe1 Lab Inc.,1508171-8,XE
XF ALUMWIN LTD.,1453967-2,XF
CANADA XF LTD.,1112698-9,XF
XF FORTUNE CORPORATION,1354476-1,XF
XF Trading Corporation,1605362-9,XF
XF Properties Inc.,1315574-9,XF
XF Window and Door Ltd.,1691851-4,XF
Pro-XF Auto Service Inc.,766641-1,XF
XF TV AND INTERNET SERVICES LTD.,1313314-1,XF
