name,num,prefix
YA-MAKASI HOLDING INC.,1293865-1,YA
MEI YA TRADING INC.,269753-0,YA
MATSU TSURU YA HOUSE LTD. -,236607-0,YA
Ya Ya&#39;s Premium Dessert company inc.,699290-1,YA
Ya Amara Ltd.,1278026-7,YA
AMI-YA INC.,940680-8,YA
YA Associates Inc.,986861-5,YA
Ya Consulting Ltd.,1580812-0,YA
YA Corporation Ltd.,1425084-2,YA
DEH&#39;YA Incorporated,1715020-2,YA
YA Ecommerce Inc.,1329036-1,YA
Ya Habibi Inc.,989955-3,YA
YA HOLDINGS INC.,964602-7,YA
YA SOLUTIONS INC.,673686-6,YA
Tamba Ya Inc.,1236864-1,YA
YA INFOTECH Inc.,1421474-9,YA
YA Traders incorporated,1353264-0,YA
YA XAR LTD.,993414-6,YA
C3YA Inc.,1302522-5,YA
Good4ya Inc.,1137716-7,YA
Yo Ya Ra Corp.,1276639-6,YA
EMIGRA YA RECRUITMENT CORP.,1535238-0,YA
Ya For Kids Inc.,637839-1,YA
Ya Hadi Holding Inc.,1086183-9,YA
SAN-YA HOLDINGS LIMITED,103347-6,YA
Ya Ting Renovation Inc.,1016306-6,YA
SEE YA NEVER INC.,936075-1,YA
Ya Shook Me Inc.,1203370-4,YA
YA LIAN Landscaping Inc.,1570273-9,YA
Sea &#39;Ya Montebello Incorporated,943288-4,YA
LI &amp; YA International Ltd.,845819-7,YA
YA 1 Productions (Van) Inc.,1475715-7,YA
YA 2 Productions (Van) Inc.,1520764-9,YA
YA 3 Productions (Van) Inc.,1567652-5,YA
LA CA YA INDUSTRIES LTD.,072125-5,YA
CANADA SHANG-YA GROUP INC.,792491-7,YA
Ya Hala Canada Immigration Inc.,1070310-9,YA
Na Ma Ya Foundation Canada,1374500-7,YA
WE GOT YA CO. LTD.,072271-5,YA
MBARI YA MWANGI HOLDINGS CORP.,1715524-7,YA
YA PING ZHANG ENGINEERING INC.,1020491-9,YA
Men-ya Inoichi Ramen Inc.,1607771-4,YA
RESTAURANTS YA MAL AL SHAM Inc.,1101679-2,YA
YA HABASHA  non -profit association  Ottawa,1421053-1,YA
EMO &#39;YA M&#39;MBONDO DU CANADA,433225-3,YA
Lang Ya Ge International Consulting Inc.,957229-5,YA
ROYALTY ZHOU HEI YA FOODS INC.,890492-8,YA
Ya&rsquo;thi N&eacute;n&eacute; Land and Resource Office,977382-7,YA
WU YA YING (CANADA) INTERNATIONAL TRADE CORP.,348139-5,YA
Organisation Muntu Mosi Nzila Ya Kimia Organization,1726060-1,YA
The Dare Ya 2 Wear It Company Inc.,1021092-7,YA
Sioux Lookout Meno Ya Win Health Centre Foundation,302928-0,YA
"YB ART, INC.",1207845-7,YB
YB Lifestyle Corp.,681865-0,YB
YB LABS Inc.,1128024-4,YB
YB Trucklines Inc.,1180590-8,YB
YB INK INC.,1452695-3,YB
YB&#39;S KITCHEN INC.,1668244-8,YB
yB&amp;O Incorporated,980559-1,YB
YB Pools ltd.,1482536-5,YB
YB TIRES &amp; AUTO INC.,1467819-2,YB
"YB Vision Co., LTD.",1335383-4,YB
GESTION FAMILLE YB INC.,1590459-5,YB
