company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Ambassador Plumbing,ambassadorplumbing.com,domain.operations@web.com,"Network Solutions, LLC",0.154,tier3,Plumber,Port Moody,BC
Andrew Sheret Ltd,andrewsheret.com,trustandsafety@support.aws.com,"Amazon Registrar, Inc.",0.414,tier3,Wholesale Plumbing Supplies,Kamloops,BC
Ange's Plumbing Ltd,angesplumbing.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.167,tier3,Plumber,Coquitlam,BC
Aqua Valley Plumbing LTD,aquavalleyplumbing.com,domain-abuse@dreamhost.com,"DreamHost, LLC",0.138,tier3,Plumber,Chilliwack,BC
Aria Plumbing and Heating Ltd.,ariaplumbingandheating.com,abuse@directnic.com,"DNC Holdings, Inc.",0.071,tier3,Plumber,Port Moody,BC
Aura Interiors,aurainteriors.com,abuse@name.com,"Name.com, Inc.",0.286,tier3,Home Accessories,Abbotsford,BC
BIGFOOT PLUMBING AND GAS,bigfootplumbingandgas.com,domainabuse@tucows.com,Tucows Domains Inc.,0.316,tier3,Plumbing and Heating,Kamloops,BC
Bartle & Gibson Co Ltd,bartlegibson.com,abuse@rebel.com,Rebel.ca Corp.,0.2,tier3,Plumbing Fixtures,Chilliwack,BC
Bathman,bathman.com,abuse@dynadot.com,Dynadot Inc,0.286,tier3,Bathroom Remodel,Port Coquitlam,BC
Bear Solutions Ltd,bear.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.267,tier3,Plumber,Abbotsford,BC
Black Bear Trades,blackbeartrades.com,support@namebright.com,DropCatch.com 1330 LLC,0.176,tier3,Woodworking,Maple Ridge,BC
Blue Gold Plumbing & Heating Ltd.,bluegoldplumbingheating.com,abuse@internet.gmo,"GMO Internet Group, Inc. d/b/a Onamae.com",0.192,tier3,Plumber,Abbotsford,BC
Bosco Plumbing & Heating Ltd.,boscoplumbingheating.com,abuse@1api.net,1API GmbH,0.258,tier3,Plumbing and Heating,Coquitlam,BC
C1 Plumbing Ltd,c1plumbing.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.303,tier3,Plumbing Renovation,Langley,BC
Raw Mechanical,rawmechanical.com,abuse@web.com,Top Tier Domains LLC,0.2,tier3,Plumbing and Heating,Kelowna,BC
Kelowna Plumbing Services Ltd,kelownaplumbing.com,abuse@enom.com,"eNom, LLC",0.3,tier3,Plumbing Renovation,Kelowna,BC
EMCO Corporation,emco.com,abuse@gcd.com,"GoDaddy Corporate Domains, LLC",0.138,tier3,Wholesale Plumbing Supplies,West Kelowna,BC
New Look Interiors Inc,new-look-interiors.com,abuse@ionos.com,IONOS SE,0.231,tier3,Kitchen Cabinets,Prince George,BC
Strive Plumbing Ltd.,striveplumbing.com,abuse@unstoppabledomains.com,Unstoppable Domains Inc.,0.412,tier3,Plumbing and Heating,Williams Lake,BC
M2 Mechanical,m2mechanical.com,abuse@bluehost.com,Bluehost Inc.,0.19,tier3,Plumbing and Heating,Nanaimo,BC
Clements Mechanical Inc.,clementsmechanical.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.279,tier3,Mechanical Contractors,Nanaimo,BC
CMF Plumbing,cmfplumbing.com,abuse@moniker.com,Moniker Online Services LLC,0.385,tier3,Plumbing and Heating,Nanaimo,BC
The Comfort Group,thecomfort.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.2,tier3,Heating Contractors,Nanaimo,BC
R+Co Plumbing Ltd.,r-plumbing.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.296,tier3,Plumber,Nanaimo,BC
Scotia Plumbing Ltd.,scotiaplumbing.com,abuse@namespro.ca,Namespro Solutions Inc.,0.174,tier3,Plumber,Nanoose Bay,BC
Seaside Service Group Ltd.,seaside.com,abuse@namecheap.com,"NameCheap, Inc.",0.25,tier3,Plumbing and Heating,Parksville,BC
Evenflow Plumbing Ltd,evenflow-plumbing.com,abuse@porkbun.com,Porkbun LLC,0.083,tier3,Plumber,Chemainus,BC
Complete Plumbing & Heating,completeplumbingheating.com,abuse@namesilo.com,"NameSilo, LLC",0.061,tier3,Plumber,Halfmoon Bay,BC
Sechelt Plumbing,secheltplumbing.com,abuse@melbourneit.com.au,Netregistry Wholesale Pty Ltd,0.244,tier3,Plumbing and Heating,Sechelt,BC
