company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
Barker Electric,barkerelectric.com,domain.operations@web.com,Annulet LLC,0.364,tier3,Electrical Contractor,Corbyville,ON
Fabtech Mechanical Inc,fabtechmechanical.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.214,tier3,Electrical Contractor,Cambridge,ON
Sunrise Electric Inc,sunrise-electric.com,DomainAbuse@service.aliyun.com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",0.17,tier3,Electrical Contractor,Toronto,ON
Rm Services,rm.com,domainabuse@cscglobal.com,"CSC Corporate Domains, Inc.",0.174,tier3,Electrical Contractor,Rockland,ON
Intel Electrical Services Ltd,intelelectrical.com,abuse@namecheap.com,"NameCheap, Inc.",0.32,tier3,Electrical Contractor,Rockwood,ON
Bfe Electrical Services,bfeelectrical.com,abuse@ionos.com,IONOS SE,0.091,tier3,Electrical Contractor,Perth,ON
Northwood Electric Ltd,northwood-electric.com,domainabuse@tucows.com,Tucows Domains Inc.,0.062,tier3,Electrical Contractor,Grand Valley,ON
Pdi Electric,pdielectric.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.182,tier3,Electrical Contractor,Cornwall,ON
Msl Enterprise,msl.com,abuse@dynadot.com,Dynadot Inc,0.0,tier3,Electrical Contractor,Bradford,ON
Industry Electric,industry-electric.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.146,tier3,Electrical Contractor,Orangeville,ON
Light Electric Contracting Inc.,light-electric.com,abuse@beget.com,Beget LLC,0.211,tier3,Electrical Contractor,Toronto,ON
Ranieri Electrical,ranierielectrical.com,abuse-complaints@squarespace.com,Squarespace Domains LLC,0.162,tier3,Electrical Contractor,Ottawa,ON
H & H Electric Corporation Ltd,hhelectric.com,abuse@spaceship.com,"Spaceship, Inc.",0.19,tier3,Electrical Contractor,Thornhill,ON
Ulectric Inc.,ulectric.com,abuse@namesilo.com,"NameSilo, LLC",0.125,tier3,Electrical Contractor,Kitchener,ON
Cd Plus Services Inc,cd-plus.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.121,tier3,Electrical Contractor,Brampton,ON
Bingham Controls Ltd,binghamcontrols.com,abuse@bluehost.com,Bluehost Inc.,0.333,tier3,Electrical Contractor,Oshawa,ON
Dgr Electrical Contracting Inc,dgrelectrical.com,domain-abuse@wix.com,Wix.com Ltd.,0.1,tier3,Electrical Contractor,Beeton,ON
Electro Stars Inc.,electrostars.com,domainadmin@alpinedomains.com,Alpine Domains Inc.,0.222,tier3,Electrical Contractor,Hamilton,ON
Evergreen Electrical Inc.,evergreenelectrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.148,tier3,Electrical Contractor,Whitby,ON
Artvesta Inc,artvesta.com,abuse@inames.co.kr,"Inames Co., Ltd.",0.429,tier3,Electrical Contractor,Thornhill,ON
Jjnm Services Inc,jjnm.com,abuse@ename.com,"eName Technology Co., Ltd.",0.2,tier3,Electrical Contractor,Grand Bend,ON
C.M.S. Electrical Group Ltd,cmselectrical.com,abuse@web.com,"Indirection Identity, LLC",0.235,tier3,Electrical Contractor,Richmond Hill,ON
Campbell Electric,campbell-electric.com,abuse@enom.com,"eNom, LLC",0.095,tier3,Electrical Contractor,Battersea,ON
Eric Hunter,eric-hunter.com,abuse@ovh.net,OVH sas,0.111,tier3,Electrical Contractor,Kitchener,ON
Stone Electric,stone-electric.com,complaint@gname.com,Gname.com Pte. Ltd.,0.308,tier3,Electrical Contractor,Lindsay,ON
Pole Electric Inc,poleelectric.com,abuse@joker.com,CSL Computer Service Langenbach GmbH d/b/a joker.com,0.148,tier3,Electrical Contractor,Richmond Hill,ON
Acsa Electric,acsaelectric.com,abuse@registrar.eu,Hosting Concepts B.V. d/b/a Registrar.eu,0.292,tier3,Electrical Contractor,North York,ON
Star Con,starcon.com,abuse@webnames.ca,Webnames.ca Inc.,0.222,tier3,Electrical Contractor,Toronto,ON
Yilong Electric Ltd,yilongelectric.com,dnsabuse@tencent.com,"DNSPod, Inc.",0.095,tier3,Electrical Contractor,Aurora,ON
NJ Electrical Inc.,nj-electrical.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.067,tier3,Electrical Contractor,Lincoln,ON
