company_name,domain,rdap_email,registrant_name,match_score,tier,trade,city,province
# 1 Painting,1painting.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.1,tier3,Painting Contractors,New Westminster,BC
'It's On' Electric Company Incorporated,itsonelectric.com,domain.operations@web.com,"Network Solutions, LLC",0.273,tier3,Electrician,Surrey,BC
123 Mechanical,123mechanical.com,abuse@bluehost.com,Launchpad.com Inc.,0.308,tier3,Plumbing and Heating,Burnaby,BC
2 Bros Construction Ltd,2brosconstruction.com,domain-abuse@wix.com,Wix.com Ltd.,0.16,tier3,General Contractor,Abbotsford,BC
2 Honest Carpenter Ltd.,2honestcarpenter.com,abuse@namespro.ca,Namespro Solutions Inc.,0.308,tier3,Home Improvement,Richmond,BC
2000 Plus Insulation Ltd,2000plusinsulation.com,abuse@enom.com,"eNom, LLC",0.167,tier3,Insulation Contractors,Vancouver,BC
22 Construction,22construction.com,abuse@namecheap.com,"NameCheap, Inc.",0.083,tier3,Home Improvement,Surrey,BC
24 Construction Inc,24-construction.com,abuse@wildwestdomains.com,"Wild West Domains, LLC",0.25,tier3,General Contractor,Richmond,BC
2M Electrical Services,2melectrical.com,abuse@bigrock.com,BigRock Solutions Ltd,0.1,tier3,Electrical Contractors,Burnaby,BC
2byfour Concrete Ltd.,2byfourconcrete.com,domainabuse@tucows.com,Tucows Domains Inc.,0.267,tier3,Concrete Contractors,Langley,BC
2nd Coat Painting Inc,2ndcoatpainting.com,abuse-tracker@hostinger.com,"HOSTINGER operations, UAB",0.244,tier3,Painting Contractors,Chilliwack,BC
33 Vastu Construction,33vastuconstruction.com,abuse@gkg.net,"GKG.Net, Inc.",0.074,tier3,General Contractor,Maple Ridge,BC
3D Construction Ltd.,3d-construction.com,domainadmin@alpinedomains.com,Alpine Domains Inc.,0.276,tier3,General Contractor,Langley,BC
3D Electrical Services,3d-electrical.com,abuse@123-reg.co.uk,123-Reg Limited,0.2,tier3,Electrician,Duncan,BC
3G Mechanical Services Inc.,3gmechanical.com,abuse-complaints@squarespace.com,Squarespace Domains II LLC,0.286,tier3,Mechanical Contractors,Langley,BC
3S Electric,3s-electric.com,supervision@xinnet.com,Xin Net Technology Corporation,0.276,tier3,Electrician,Surrey,BC
3p Painting,3ppainting.com,registry-abuse@nexigen.digital,Synergy Wholesale Accreditations Pty Ltd,0.128,tier3,Painting Contractors,Langley,BC
4-S Consulting Services,4-s.com,abuse@dynadot.com,Dynadot Inc,0.0,tier3,Home Builders,Delta,BC
49 North Enterprises,49north.com,registrar-abuse@cloudflare.com,"Cloudflare, Inc.",0.222,tier3,Construction Services,Black Creek,BC
4TR CONTRACTING,4tr.com,DomainAbuse@service.aliyun.com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",0.059,tier3,General Contractor,Kamloops,BC
5K Construction Ltd.,5kconstruction.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.293,tier3,Home Builders,Surrey,BC
88 Homes Ltd,88homes.com,abuse@namesilo.com,"NameSilo, LLC",0.375,tier3,Home Builders,Vancouver,BC
A & A Construction Ltd,aaconstruction.com,abuse@epik.com,Epik LLC,0.1,tier3,Building Contractors,Vancouver,BC
A & B Paving Co. Ltd.,abpaving.com,billing@registermatrix.com,"Media Elite Holdings Limited, S.A.",0.333,tier3,Paving Contractors,Burnaby,BC
A & W Contracting,a-w.com,abuse@united-domains.de,united-domains GmbH,0.182,tier3,Building Contractors,Chilliwack,BC
A B C Cleaning Services,abccleaning.com,abuse@uniregistry.com,GoDaddy Online Services Cayman Islands Ltd.,0.372,tier3,Cleaning Services,Surrey,BC
A B C Painting Ltd,abcpainting.com,abuse-contact@sav.com,"Sav.com, LLC",0.2,tier3,Painting Contractors,Surrey,BC
A Finer Line Services Inc.,afinerline.com,abuse@ionos.com,IONOS SE,0.2,tier3,Painting Contractors,Victoria,BC
A N B Painting,anbpainting.com,abuse@name.com,"Name.com, Inc.",0.095,tier3,Painting Contractors,Surrey,BC
A New Look,anewlook.com,abuse@fabulous.com,"Sea Wasp, LLC",0.333,tier3,General Contractor,Port Moody,BC
A R Enterprises,a-r.com,domain-abuse@internetx.com,InterNetX GmbH,0.118,tier3,Electrician,Gibsons,BC
A Tech Services,atech.com,abusecomplaints@markmonitor.com,MarkMonitor Inc.,0.235,tier3,Painting Contractors,Burnaby,BC
Working Hands Construction,workinghandsconstruction.com,abuse@godaddy.com,"GoDaddy.com, LLC",0.278,tier3,Construction,Kelowna,BC
Wolverine Industries,wolverineindustries.com,domainabuse@tucows.com,Tucows Domains Inc.,0.294,tier3,Home Improvement,Kelowna,BC
Wiring Solutions Electrical Services,wiringelectrical.com,support@namebright.com,"TurnCommerce, Inc. DBA NameBright.com",0.186,tier3,Electrician,Chase,BC
Wirepro Electric Inc,wirepro-electric.com,abuse@ionos.com,IONOS SE,0.167,tier3,Electrician,Surrey,BC
