domain,email,trade,city,source_url,scraped_at
crawfordelectric.ca,crawford.electric77@gmail.com,electricians,Kamloops,https://crawfordelectric.ca/,2026-04-01T04:16:12.931785+00:00
foxandsons.ca,csr@foxandsons.ca,electricians,Kamloops,https://foxandsons.ca/,2026-04-01T04:16:21.275538+00:00
versatileelectric.ca,versatilebilling@gmail.com,electricians,Kamloops,https://versatileelectric.ca/,2026-04-01T04:16:30.606383+00:00
hubelectric.ca,imhub@telus.net,electricians,Kamloops,https://hubelectric.ca/,2026-04-01T04:16:37.705386+00:00
kamloops.foxandsons.ca,csr@foxandsons.ca,electricians,Kamloops,https://kamloops.foxandsons.ca/,2026-04-01T04:17:14.176695+00:00
tracerelectric.com,info@tracerelectric.com,electricians,Kamloops,https://tracerelectric.com/,2026-04-01T04:17:26.992223+00:00
associatedelectrical.ca,office@associatedelectrical.ca,electricians,Kamloops,https://associatedelectrical.ca/,2026-04-01T04:17:35.033965+00:00
brightsolutionselectrical.ca,brightsolutionselectrical1@gmail.com,electricians,Kamloops,https://brightsolutionselectrical.ca/,2026-04-01T04:17:41.720740+00:00
houle.ca,hello@houle.ca,electricians,Kamloops,https://houle.ca/,2026-04-01T04:17:54.154465+00:00
southgateelectric.ca,admin@southgateelectric.ca,electricians,Kamloops,https://southgateelectric.ca/,2026-04-01T04:18:47.342232+00:00
aspenelectricltd.com,admin@aspenelectricltd.com,electricians,Kamloops,https://aspenelectricltd.com/,2026-04-01T04:18:53.082704+00:00
