domain,email,trade,city,source_url,scraped_at
cleanerhub.ca,hello@cleanerhub.ca,cleaners,Vancouver,https://cleanerhub.ca/,2026-04-01T05:18:58.975094+00:00
lunawindowsandgutters.ca,info@lunawindowsandgutters.ca,cleaners,Vancouver,https://lunawindowsandgutters.ca/,2026-04-01T05:19:08.658956+00:00
lavanco.ca,lavancobc@gmail.com,cleaners,Vancouver,https://lavanco.ca/contact-us,2026-04-01T05:19:20.535766+00:00
totalcommercialsolutions.ca,info@totalcommercialsolutions.ca,cleaners,Vancouver,https://totalcommercialsolutions.ca/,2026-04-01T05:21:51.677877+00:00
lifemaideasy.com,support@lifemaideasy.com,cleaners,Vancouver,https://lifemaideasy.com/,2026-04-01T05:22:09.895795+00:00
mastercare.com,info@mastercare.com,cleaners,Vancouver,https://mastercare.com/,2026-04-01T05:22:24.601530+00:00
mastercare.com,tinfo@mastercare.com,cleaners,Vancouver,https://mastercare.com/contact,2026-04-01T05:22:30.445073+00:00
venominc.ca,career@venominc.ca,cleaners,Vancouver,https://venominc.ca/contact,2026-04-01T05:22:53.585710+00:00
lgfcleaners.com,info@lgfcleaners.com,cleaners,Vancouver,https://lgfcleaners.com/contact,2026-04-01T05:23:22.476257+00:00
servantage.ca,info@servantage.ca,cleaners,Vancouver,https://servantage.ca/contact,2026-04-01T05:23:39.294758+00:00
minichiello.ca,info@minichiello.ca,cleaners,Vancouver,https://minichiello.ca/,2026-04-01T05:23:48.834441+00:00
gettidy.ca,ashley@gettidy.ca,cleaners,Vancouver,https://gettidy.ca/,2026-04-01T05:24:03.111832+00:00
gettidy.ca,impallari@gmail.com,cleaners,Vancouver,https://gettidy.ca/,2026-04-01T05:24:03.111832+00:00
