domain,email,trade,city,source_url,scraped_at
jjmmechanicalgroup.ca,accounts@jjmmechanicalgroup.ca,hvac,Halifax,https://jjmmechanicalgroup.ca/,2026-04-01T04:35:54.054059+00:00
jjmmechanicalgroup.ca,jjm@jjmmechanicalgroup.ca,hvac,Halifax,https://jjmmechanicalgroup.ca/,2026-04-01T04:35:54.054059+00:00
jjmmechanicalgroup.ca,jjmmechanicalgroup@gmail.com,hvac,Halifax,https://jjmmechanicalgroup.ca/,2026-04-01T04:35:54.054059+00:00
encanoplumbinganddrain.com,encanorichmond@gmail.com,hvac,Halifax,https://encanoplumbinganddrain.com/,2026-04-01T04:38:31.203567+00:00
nickelheating.ca,admin@nickelheating.ca,hvac,Halifax,https://nickelheating.ca/contact,2026-04-01T04:38:52.821518+00:00
square-m.net,info@square-m.net,hvac,Halifax,https://square-m.net/,2026-04-01T04:39:03.404931+00:00
bcwide.ca,info@bcwide.ca,hvac,Halifax,https://bcwide.ca/,2026-04-01T04:39:18.997785+00:00
davidsonbros.ca,info@davidsonbros.ca,hvac,Halifax,https://davidsonbros.ca/,2026-04-01T04:39:42.326370+00:00
nationheating.ca,info@nationheating.ca,hvac,Halifax,https://nationheating.ca/,2026-04-01T04:39:54.173851+00:00
broadwayrefrigeration.com,general@broadwayrefrigeration.com,hvac,Halifax,https://broadwayrefrigeration.com/,2026-04-01T04:40:22.520687+00:00
milani.ca,info@milani.ca,hvac,Halifax,https://milani.ca/,2026-04-01T04:40:49.056211+00:00
