domain,email,trade,city,source_url,scraped_at
afstarmechanical.ca,info@afstarmechanical.ca,plumbers,Winnipeg,https://afstarmechanical.ca/contact,2026-04-01T04:12:09.646340+00:00
ciaplumbingheating.ca,911.cia.plumbing@gmail.com,plumbers,Winnipeg,https://ciaplumbingheating.ca/,2026-04-01T04:12:51.191490+00:00
aquifermechanical.ca,info@aquifermechanical.ca,plumbers,Winnipeg,https://aquifermechanical.ca/,2026-04-01T04:13:01.839093+00:00
aquifermechanical.ca,rh_dadhra@hotmail.com,plumbers,Winnipeg,https://aquifermechanical.ca/contact,2026-04-01T04:13:06.400659+00:00
pauldavis.ca,canada@pauldavis.ca,plumbers,Winnipeg,https://pauldavis.ca/,2026-04-01T04:13:15.202767+00:00
goldsteinplumbing.com,info@goldsteinplumbing.com,plumbers,Winnipeg,https://goldsteinplumbing.com/,2026-04-01T04:13:25.292475+00:00
wolfplumbing.ca,wolfplumbing393@outlook.com,plumbers,Winnipeg,https://wolfplumbing.ca/,2026-04-01T04:13:44.516067+00:00
milani.ca,info@milani.ca,plumbers,Winnipeg,https://milani.ca/,2026-04-01T04:13:58.590116+00:00
milani.ca,customerservice@milani.ca,plumbers,Winnipeg,https://milani.ca/contact,2026-04-01T04:14:04.017610+00:00
bluemountainservices.com,service@bluemountainservices.com,plumbers,Winnipeg,https://bluemountainservices.com/contact,2026-04-01T04:14:46.502025+00:00
